operon	miembros	locus_tags	fuente
algFA-arnBCADTE	algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algFA-arnBCADTEF	algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algGX	algG|algX	PA3545|PA3546	refseq_adyacencia
algGXL	algG|algX|algL	PA3545|PA3546|PA3547	refseq_adyacencia
algGXLI	algG|algX|algL|algI	PA3545|PA3546|PA3547|PA3548	refseq_adyacencia
algGXLIJ	algG|algX|algL|algI|algJ	PA3545|PA3546|PA3547|PA3548|PA3549	refseq_adyacencia
algGXLIJF	algG|algX|algL|algI|algJ|algF	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550	refseq_adyacencia
algGXLIJFA	algG|algX|algL|algI|algJ|algF|algA	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algGXLIJFA-arnB	algG|algX|algL|algI|algJ|algF|algA|arnB	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algGXLIJFA-arnBC	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algGXLIJFA-arnBCA	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algGXLIJFA-arnBCAD	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algGXLIJFA-arnBCADT	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algGXLIJFA-arnBCADTE	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algGXLIJFA-arnBCADTEF	algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algIJ	algI|algJ	PA3548|PA3549	refseq_adyacencia
algIJF	algI|algJ|algF	PA3548|PA3549|PA3550	refseq_adyacencia
algIJFA	algI|algJ|algF|algA	PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algIJFA-arnB	algI|algJ|algF|algA|arnB	PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algIJFA-arnBC	algI|algJ|algF|algA|arnB|arnC	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algIJFA-arnBCA	algI|algJ|algF|algA|arnB|arnC|arnA	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algIJFA-arnBCAD	algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algIJFA-arnBCADT	algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algIJFA-arnBCADTE	algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algIJFA-arnBCADTEF	algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algJF	algJ|algF	PA3549|PA3550	refseq_adyacencia
algJFA	algJ|algF|algA	PA3549|PA3550|PA3551	refseq_adyacencia
algJFA-arnB	algJ|algF|algA|arnB	PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algJFA-arnBC	algJ|algF|algA|arnB|arnC	PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algJFA-arnBCA	algJ|algF|algA|arnB|arnC|arnA	PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algJFA-arnBCAD	algJ|algF|algA|arnB|arnC|arnA|arnD	PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algJFA-arnBCADT	algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algJFA-arnBCADTE	algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algJFA-arnBCADTEF	algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algKE	algK|algE	PA3543|PA3544	refseq_adyacencia
algKEG	algK|algE|algG	PA3543|PA3544|PA3545	refseq_adyacencia
algKEGX	algK|algE|algG|algX	PA3543|PA3544|PA3545|PA3546	refseq_adyacencia
algKEGXL	algK|algE|algG|algX|algL	PA3543|PA3544|PA3545|PA3546|PA3547	refseq_adyacencia
algKEGXLI	algK|algE|algG|algX|algL|algI	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548	refseq_adyacencia
algKEGXLIJ	algK|algE|algG|algX|algL|algI|algJ	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549	refseq_adyacencia
algKEGXLIJF	algK|algE|algG|algX|algL|algI|algJ|algF	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550	refseq_adyacencia
algKEGXLIJFA	algK|algE|algG|algX|algL|algI|algJ|algF|algA	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algKEGXLIJFA-arnB	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algKEGXLIJFA-arnBC	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algKEGXLIJFA-arnBCA	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algKEGXLIJFA-arnBCAD	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algKEGXLIJFA-arnBCADT	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algKEGXLIJFA-arnBCADTE	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algKEGXLIJFA-arnBCADTEF	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algLI	algL|algI	PA3547|PA3548	refseq_adyacencia
algLIJ	algL|algI|algJ	PA3547|PA3548|PA3549	refseq_adyacencia
algLIJF	algL|algI|algJ|algF	PA3547|PA3548|PA3549|PA3550	refseq_adyacencia
algLIJFA	algL|algI|algJ|algF|algA	PA3547|PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algLIJFA-arnB	algL|algI|algJ|algF|algA|arnB	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algLIJFA-arnBC	algL|algI|algJ|algF|algA|arnB|arnC	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algLIJFA-arnBCA	algL|algI|algJ|algF|algA|arnB|arnC|arnA	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algLIJFA-arnBCAD	algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algLIJFA-arnBCADT	algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algLIJFA-arnBCADTE	algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algLIJFA-arnBCADTEF	algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algR-hemC	algR|hemC	PA5261|PA5260	refseq_adyacencia
algR-hemCD	algR|hemC|hemD	PA5261|PA5260|PA5259	refseq_adyacencia
algU-mucA	algU|mucA	PA0762|PA0763	refseq_adyacencia
algU-mucAB	algU|mucA|mucB	PA0762|PA0763|PA0764	refseq_adyacencia
algU-mucABC	algU|mucA|mucB|mucC	PA0762|PA0763|PA0764|PA0765	refseq_adyacencia
algU-mucABCD	algU|mucA|mucB|mucC|mucD	PA0762|PA0763|PA0764|PA0765|PA0766	refseq_adyacencia
algU-mucABCD-lepA	algU|mucA|mucB|mucC|mucD|lepA	PA0762|PA0763|PA0764|PA0765|PA0766|PA0767	refseq_adyacencia
algU-mucABCD-lepAB	algU|mucA|mucB|mucC|mucD|lepA|lepB	PA0762|PA0763|PA0764|PA0765|PA0766|PA0767|PA0768	refseq_adyacencia
algXL	algX|algL	PA3546|PA3547	refseq_adyacencia
algXLI	algX|algL|algI	PA3546|PA3547|PA3548	refseq_adyacencia
algXLIJ	algX|algL|algI|algJ	PA3546|PA3547|PA3548|PA3549	refseq_adyacencia
algXLIJF	algX|algL|algI|algJ|algF	PA3546|PA3547|PA3548|PA3549|PA3550	refseq_adyacencia
algXLIJFA	algX|algL|algI|algJ|algF|algA	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algXLIJFA-arnB	algX|algL|algI|algJ|algF|algA|arnB	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algXLIJFA-arnBC	algX|algL|algI|algJ|algF|algA|arnB|arnC	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algXLIJFA-arnBCA	algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algXLIJFA-arnBCAD	algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algXLIJFA-arnBCADT	algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algXLIJFA-arnBCADTE	algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algXLIJFA-arnBCADTEF	algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algZR	algZ|algR	PA5262|PA5261	refseq_adyacencia
algZR-hemC	algZ|algR|hemC	PA5262|PA5261|PA5260	refseq_adyacencia
algZR-hemCD	algZ|algR|hemC|hemD	PA5262|PA5261|PA5260|PA5259	refseq_adyacencia
alkT-hupA	alkT|hupA	PA5349|PA5348	refseq_adyacencia
ambAB	ambA|ambB	PA2306|PA2305	refseq_adyacencia
ambABC	ambA|ambB|ambC	PA2306|PA2305|PA2304	refseq_adyacencia
ambABCD	ambA|ambB|ambC|ambD	PA2306|PA2305|PA2304|PA2303	refseq_adyacencia
ambABCDE	ambA|ambB|ambC|ambD|ambE	PA2306|PA2305|PA2304|PA2303|PA2302	refseq_adyacencia
ambBC	ambB|ambC	PA2305|PA2304	refseq_adyacencia
ambBCD	ambB|ambC|ambD	PA2305|PA2304|PA2303	refseq_adyacencia
ambBCDE	ambB|ambC|ambD|ambE	PA2305|PA2304|PA2303|PA2302	refseq_adyacencia
ambCD	ambC|ambD	PA2304|PA2303	refseq_adyacencia
ambCDE	ambC|ambD|ambE	PA2304|PA2303|PA2302	refseq_adyacencia
ambDE	ambD|ambE	PA2303|PA2302	refseq_adyacencia
amgK-murU	amgK|murU	PA0596|PA0597	refseq_adyacencia
amgRS	amgR|amgS	PA5200|PA5199	refseq_adyacencia
amiB-mutL	amiB|mutL	PA4947|PA4946	refseq_adyacencia
amiB-mutL-miaA	amiB|mutL|miaA	PA4947|PA4946|PA4945	refseq_adyacencia
amiBC	amiB|amiC	PA3365|PA3364	refseq_adyacencia
amiBCR	amiB|amiC|amiR	PA3365|PA3364|PA3363	refseq_adyacencia
amiBCRS	amiB|amiC|amiR|amiS	PA3365|PA3364|PA3363|PA3362	refseq_adyacencia
amiCR	amiC|amiR	PA3364|PA3363	refseq_adyacencia
amiCRS	amiC|amiR|amiS	PA3364|PA3363|PA3362	refseq_adyacencia
amiEB	amiE|amiB	PA3366|PA3365	refseq_adyacencia
amiEBC	amiE|amiB|amiC	PA3366|PA3365|PA3364	refseq_adyacencia
amiEBCR	amiE|amiB|amiC|amiR	PA3366|PA3365|PA3364|PA3363	refseq_adyacencia
amiEBCRS	amiE|amiB|amiC|amiR|amiS	PA3366|PA3365|PA3364|PA3363|PA3362	refseq_adyacencia
amiLE	amiL|amiE	PA3366.1|PA3366	refseq_adyacencia
amiLEB	amiL|amiE|amiB	PA3366.1|PA3366|PA3365	refseq_adyacencia
amiLEBC	amiL|amiE|amiB|amiC	PA3366.1|PA3366|PA3365|PA3364	refseq_adyacencia
amiLEBCR	amiL|amiE|amiB|amiC|amiR	PA3366.1|PA3366|PA3365|PA3364|PA3363	refseq_adyacencia
amiLEBCRS	amiL|amiE|amiB|amiC|amiR|amiS	PA3366.1|PA3366|PA3365|PA3364|PA3363|PA3362	refseq_adyacencia
amiRS	amiR|amiS	PA3363|PA3362	refseq_adyacencia
ansA-pvcA	ansA|pvcA	PA2253|PA2254	refseq_adyacencia
ansA-pvcAB	ansA|pvcA|pvcB	PA2253|PA2254|PA2255	refseq_adyacencia
ansA-pvcABC	ansA|pvcA|pvcB|pvcC	PA2253|PA2254|PA2255|PA2256	refseq_adyacencia
ansA-pvcABCD	ansA|pvcA|pvcB|pvcC|pvcD	PA2253|PA2254|PA2255|PA2256|PA2257	refseq_adyacencia
antAB	antA|antB	PA2512|PA2513	refseq_adyacencia
antABC	antA|antB|antC	PA2512|PA2513|PA2514	refseq_adyacencia
antBC	antB|antC	PA2513|PA2514	refseq_adyacencia
aotJQ	aotJ|aotQ	PA0888|PA0889	refseq_adyacencia
aotJQM	aotJ|aotQ|aotM	PA0888|PA0889|PA0890	refseq_adyacencia
aotP-argR	aotP|argR	PA0892|PA0893	refseq_adyacencia
aotQM	aotQ|aotM	PA0889|PA0890	refseq_adyacencia
apaGH	apaG|apaH	PA0591|PA0590	refseq_adyacencia
apaGH-glpE	apaG|apaH|glpE	PA0591|PA0590|PA0589	refseq_adyacencia
apaH-glpE	apaH|glpE	PA0590|PA0589	refseq_adyacencia
aprAI	aprA|aprI	PA1249|PA1250	refseq_adyacencia
aprDE	aprD|aprE	PA1246|PA1247	refseq_adyacencia
aprDEF	aprD|aprE|aprF	PA1246|PA1247|PA1248	refseq_adyacencia
aprDEFA	aprD|aprE|aprF|aprA	PA1246|PA1247|PA1248|PA1249	refseq_adyacencia
aprDEFAI	aprD|aprE|aprF|aprA|aprI	PA1246|PA1247|PA1248|PA1249|PA1250	refseq_adyacencia
aprEF	aprE|aprF	PA1247|PA1248	refseq_adyacencia
aprEFA	aprE|aprF|aprA	PA1247|PA1248|PA1249	refseq_adyacencia
aprEFAI	aprE|aprF|aprA|aprI	PA1247|PA1248|PA1249|PA1250	refseq_adyacencia
aprFA	aprF|aprA	PA1248|PA1249	refseq_adyacencia
aprFAI	aprF|aprA|aprI	PA1248|PA1249|PA1250	refseq_adyacencia
arcAB	arcA|arcB	PA5171|PA5172	refseq_adyacencia
arcABC	arcA|arcB|arcC	PA5171|PA5172|PA5173	refseq_adyacencia
arcABC-fabY	arcA|arcB|arcC|fabY	PA5171|PA5172|PA5173|PA5174	refseq_adyacencia
arcBC	arcB|arcC	PA5172|PA5173	refseq_adyacencia
arcBC-fabY	arcB|arcC|fabY	PA5172|PA5173|PA5174	refseq_adyacencia
arcC-fabY	arcC|fabY	PA5173|PA5174	refseq_adyacencia
arcDA	arcD|arcA	PA5170|PA5171	refseq_adyacencia
arcDAB	arcD|arcA|arcB	PA5170|PA5171|PA5172	refseq_adyacencia
arcDABC	arcD|arcA|arcB|arcC	PA5170|PA5171|PA5172|PA5173	refseq_adyacencia
arcDABC-fabY	arcD|arcA|arcB|arcC|fabY	PA5170|PA5171|PA5172|PA5173|PA5174	refseq_adyacencia
arnAD	arnA|arnD	PA3554|PA3555	refseq_adyacencia
arnADT	arnA|arnD|arnT	PA3554|PA3555|PA3556	refseq_adyacencia
arnADTE	arnA|arnD|arnT|arnE	PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
arnADTEF	arnA|arnD|arnT|arnE|arnF	PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
arnBC	arnB|arnC	PA3552|PA3553	refseq_adyacencia
arnBCA	arnB|arnC|arnA	PA3552|PA3553|PA3554	refseq_adyacencia
arnBCAD	arnB|arnC|arnA|arnD	PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
arnBCADT	arnB|arnC|arnA|arnD|arnT	PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
arnBCADTE	arnB|arnC|arnA|arnD|arnT|arnE	PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
arnBCADTEF	arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
arnCA	arnC|arnA	PA3553|PA3554	refseq_adyacencia
arnCAD	arnC|arnA|arnD	PA3553|PA3554|PA3555	refseq_adyacencia
arnCADT	arnC|arnA|arnD|arnT	PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
arnCADTE	arnC|arnA|arnD|arnT|arnE	PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
arnCADTEF	arnC|arnA|arnD|arnT|arnE|arnF	PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
arnDT	arnD|arnT	PA3555|PA3556	refseq_adyacencia
arnDTE	arnD|arnT|arnE	PA3555|PA3556|PA3557	refseq_adyacencia
arnDTEF	arnD|arnT|arnE|arnF	PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
arnEF	arnE|arnF	PA3557|PA3558	refseq_adyacencia
arnTE	arnT|arnE	PA3556|PA3557	refseq_adyacencia
arnTEF	arnT|arnE|arnF	PA3556|PA3557|PA3558	refseq_adyacencia
aroE-plcB	aroE|plcB	PA0025|PA0026	refseq_adyacencia
aroKB	aroK|aroB	PA5039|PA5038	refseq_adyacencia
arsBC	arsB|arsC	PA2278|PA2279	refseq_adyacencia
arsRB	arsR|arsB	PA2277|PA2278	refseq_adyacencia
arsRBC	arsR|arsB|arsC	PA2277|PA2278|PA2279	refseq_adyacencia
aruCF	aruC|aruF	PA0895|PA0896	refseq_adyacencia
aruCFG	aruC|aruF|aruG	PA0895|PA0896|PA0897	refseq_adyacencia
aruCFGD	aruC|aruF|aruG|aruD	PA0895|PA0896|PA0897|PA0898	refseq_adyacencia
aruCFGDB	aruC|aruF|aruG|aruD|aruB	PA0895|PA0896|PA0897|PA0898|PA0899	refseq_adyacencia
aruDB	aruD|aruB	PA0898|PA0899	refseq_adyacencia
aruFG	aruF|aruG	PA0896|PA0897	refseq_adyacencia
aruFGD	aruF|aruG|aruD	PA0896|PA0897|PA0898	refseq_adyacencia
aruFGDB	aruF|aruG|aruD|aruB	PA0896|PA0897|PA0898|PA0899	refseq_adyacencia
aruGD	aruG|aruD	PA0897|PA0898	refseq_adyacencia
aruGDB	aruG|aruD|aruB	PA0897|PA0898|PA0899	refseq_adyacencia
aruIH	aruI|aruH	PA4977|PA4976	refseq_adyacencia
aruRS	aruR|aruS	PA4983|PA4982	refseq_adyacencia
aspS-pmpR	aspS|pmpR	PA0963|PA0964	refseq_adyacencia
aspS-pmpR-ruvC	aspS|pmpR|ruvC	PA0963|PA0964|PA0965	refseq_adyacencia
aspS-pmpR-ruvCA	aspS|pmpR|ruvC|ruvA	PA0963|PA0964|PA0965|PA0966	refseq_adyacencia
aspS-pmpR-ruvCAB	aspS|pmpR|ruvC|ruvA|ruvB	PA0963|PA0964|PA0965|PA0966|PA0967	refseq_adyacencia
