tf	blanco	signo	certeza_dominio	subsistema	alias	atestiguado	n_articulos	pmids	oracion
FleQ	cdrA	activates	establecida	Biopelicula c-di-GMP	tres sitios de union de FleQ verificados en PcdrA; activa con c-di-GMP alto	true	11	27636892,33143386,34669473,36377899,38436566	Previously, FleQ has been shown to act as an activator of the sigmaN-independent promoters for the P. aeruginosa pel and cdrA operons in the presence of high c-di-GMP concentrations [17, 18].
FleQ	fleSR	activates	establecida	Biopelicula c-di-GMP	fleSR = fleS + fleR; activacion dependiente de sigma-54 (RpoN)	true	20	18485075,27636892,34669473,36377899,37492705	FleQ activates expression of the two component regulatory genes fleSR as well as genes that are necessary for the assembly of the flagella export apparatus and initiation of flagella basal body-hook formation in conjunction with the alternative RNA polymerase sigma factor, sigma54 (Jyot et al., 2002).
FleQ	fliC	activates	probable	Biopelicula c-di-GMP	fliC = flagelina; efecto indirecto via FleSR/FliA	true	2	31158231,26915971	The other interesting feature between flagellar expression and mucoidy is that fliC is repressed by the AlgT(U)-dependent regulator AmzR that directly represses the fleQ gene, the product of which is required for fliC transcription [89].
FleQ	pel	represses	establecida	Biopelicula c-di-GMP	operon pel, pelA = PA3064; represor a c-di-GMP bajo, activador a c-di-GMP alto	true	22	18485075,20735777,24603766,27636892,36533916	Our in vivo data indicate that FleQ represses pel transcription and that pel transcription is not repressed when intracellular c-di-GMP levels are high.
FleQ	psl	represses	establecida	Biopelicula c-di-GMP	operon psl, pslA = PA2231	true	16	18485075,24603766,27636892,33779544,37492705	These results are consistent with a model where FleQ acts as a repressor of pel and psl gene transcription and FleN interacts with FleQ to antagonize its repressor activity.
IHF	algD	activates	probable	Biopelicula c-di-GMP	IHF = integration host factor, subunidades IHFalfa e IHFbeta	true	1	22511872	This is consistent with the previous evidence that the AlgB, AlgR, IHF, and CysB regulators are known to bind on the algD promoter and are necessary for activation [44]-[48], suggesting a possible interaction of AmrZ with one of these proteins.
WspR	pel	regulates	probable	Biopelicula c-di-GMP	WspR = diguanilato ciclasa, NO es factor de transcripcion; efecto indirecto via c-di-GMP; se activa al delecionar wspF	true	1	22581773	Similarly, a wspF deletion causes the DGC WspR to be activated, resulting in c-di-GMP accumulation, which induces pel expression (1,27).
AlgU	mexCD-oprJ	activates	probable	Bombas RND	AlgU = AlgT = sigma-22 = RpoE = PA0762; induccion de mexCD-oprJ por estres de envoltura (clorhexidina, polimixina B)	true	3	28153747,33995291,41821518	In addition, AlgU/T impacts antimicrobial resistance by inducing expression of the mexCD-oprJ efflux pump.
AmgR	mexXY	activates	probable	Bombas RND	AmgR = PA5200, regulador de respuesta del sistema AmgRS (AmgS = PA5199)	true	9	25450797,27021319,30289929,30974906,39656006	Nonetheless, a link was established between AmgRS activation and mexXY expression and this was confirmed in studies showing that aminoglycoside-promoted mexXY expression is dependent on AmgRS.
AmpR	ampC	activates	establecida	Bombas RND	AmpR = PA4109, familia LysR; ampC = PA4110 (beta-lactamasa clase C)	true	24	8112596,16120476,20965918,22479525,25182487	We have previously reported that in the non-mucoid strain, AmpR positively regulates ampC expression but negatively controls the expression of poxB (Kong et al., 2005a, b).
AmpR	mexEF-oprN	represses	probable	Bombas RND	la oracion original usa el simbolo beta; se transcribio como 'beta'	true	4	22479525,24157832,24291602,37569271	We show that in addition to positively regulating the ampC and potentially the MexAB-OprM efflux pump by modulating expression of the MexR repressor, AmpR also mediates non-beta-lactam resistance by negatively regulating the MexEF-OprN efflux pump.
AmpR	mexR	activates	probable	Bombas RND	la oracion original escribe PAO(delta)ampR con la letra griega y los valores con error estandar	true	2	22479525,41821518	qPCR analysis of mexR expression revealed downregulation of this gene in PAO-delta-ampR compared to PAO1 (RQ: uninduced 0.46, p-value 0.002; induced 0.4, p-value 0.01).
AmpR	poxB	represses	probable	Bombas RND	poxB = PA5514, oxacilinasa clase D	true	3	20965918,28153747,31492943	Expression of the ampC and poxB genes is tightly controlled by AmpR, a global LysR-like transcriptional regulator (Kong et al., 2005b).
BrlR	mexAB-oprM	activates	establecida	Bombas RND	BrlR = PA4878, regulador tipo MerR, especifico de biopelicula	true	7	23687276,23995639,24612375,30289929,41821518	Quantitative reverse transcriptase PCR (qRT-PCR) analysis further indicated BrlR to be an activator of mexAB-oprM and mexEF-oprN gene expression.
BrlR	mexEF-oprN	activates	establecida	Bombas RND	BrlR = PA4878	true	4	23687276,23995639,24612375,41821518	The mechanism by which BrlR, a MerR-like regulator, confers tolerance relies on BrlR binding promoter regions and activating at least two multidrug efflux pumps encoded by mexAB-oprM and mexEF-oprN (Liao et al., 2013).
CpxR	mexAB-oprM	activates	probable	Bombas RND	CpxR = PA3206, regulador de respuesta del sistema de dos componentes CpxAR/CpxSR; actua sobre el promotor distal PI	true	7	29033910,30289929,35744765,37279282,37800959	Recently, a homologue of the E. coli CpxR envelope stress response regulator has been identified in P. aeruginosa and shown to bind to the PI promoter of mexAB-oprM, where it positively influences efflux gene expression [35].
CzcR	oprD	represses	establecida	Bombas RND	CzcR = PA2523, regulador de respuesta del sistema CzcRS inducido por zinc/cadmio	true	16	17449606,22666466,28732057,29033910,33669570	Importantly, CzcR co-regulates carbapenem antibiotic resistance by repressing the expression of the OprD porin, the route of entry for these antibiotics.
MexL	mexJK	represses	establecida	Bombas RND	MexL = PA3678, familia TetR; mexJK = PA3677-PA3676	true	6	15855505,28678862,31492943,40011517,42017668	The expression of mexJK was repressed by a transcriptional regulator MexL, which was encoded by mexL located upstream of mexJK operon in the opposite direction29.
MexL	mexL	represses	probable	Bombas RND	la oracion dice 'regulating', no resuelve el signo de la autorregulacion	true	1	15855505	MexL protected about 60 nucleotides on each strand, and the protected regions overlapped almost perfectly, a finding consistent with MexL regulating the expression of both mexL and mexJK, which was ascertained by gene fusion analyses.
MexR	mexAB-oprM	represses	establecida	Bombas RND	MexR = NalB = PA0424, familia MarR; mexAB-oprM = PA0425-PA0427	true	24	8878574,11166990,21205015,28584154,32875640	MexR is the repressor that directly binds the mexA promoter region and prevents transcription of the mexAB-oprM operon (Evans et al., 2001).
MexR	mexR	represses	establecida	Bombas RND	autorrepresion; mexR se transcribe divergente de mexAB-oprM	true	4	8878574,11166990,11886752,40794867	Expression of a mexR-lacZ fusion increased threefold in a mexR knockout mutant, indicating that mexR is negatively autoregulated.
MexT	mexEF-oprN	activates	establecida	Bombas RND	MexT = PA2492, regulador tipo LysR; mexEF-oprN = PA2493-PA2495	true	35	19846594,20727012,22417660,29033910,35744765	The expression of mexEF-oprN is activated by a LysR-type transcriptional regulator (LTTR) MexT, which is encoded by a gene located just upstream of mexEF-oprN in the same orientation in P. aeruginosa (6).
MexT	mexS	activates	establecida	Bombas RND	mexS = qrh = PA2491	true	17	19846594,22479525,29033910,33106346,40287835	Besides the mexEF-oprN operon, MexT can activate the expression of mexS, previously referred to as qrh, in P. aeruginosa (6).
MexT	mexT	regulates	probable	Bombas RND	autorregulacion tipica de LysR (LTTR)	false	0		
MexT	oprD	represses	establecida	Bombas RND	oprD = PA0958; fenotipo nfxC	true	5	22479525,29033910,32083512,35744765,39592545	MexT also represses oprD expression, which contains a carbapenem binding pocket (blue arrow).
MexZ	mexXY	represses	establecida	Bombas RND	MexZ = AmrR = PA2020, familia TetR; mexXY = amrAB = PA2019-PA2018	true	20	15336398,19589837,21149619,25450797,36498910	These results explain the mechanism by which MexZ represses transcription of the mexXY operon, but do not explain the substrate-induced hyperproduction of MexXY.
MexZ	mexZ	represses	establecida	Bombas RND	autorrepresion desde el mismo sitio palindromico de 20 pb	true	2	19589837,36498910	The MexZ dimer binds to a 20-bp palindromic sequence in the intergenic region between mexXY and mexZ genes repressing their transcription [25,26].
NalC	armR	represses	establecida	Bombas RND	NalC = PA3721, familia TetR; armR = PA3719; operon PA3720-armR (PA3720-PA3719)	true	5	29033910,30289929,37666047,39656006,40287835	armR occurs as part of the PA3720-armR operon that is regulated by the product of the divergently-transcribed nalC repressor gene [32], with nalC mutants showing elevated PA3720-armR expression and, so, elevated mexAB-oprM expression and multidrug resistance [32] as a result of ArmR modulation of MexR's repressor activity [31].
NalC	mexAB-oprM	represses	establecida	Bombas RND	efecto indirecto: NalC reprime armR y ArmR secuestra a MexR	true	9	27412168,29033910,30289929,37800959,39656006	The expression of the mexAB-oprM operon was modulated directly by two repressors, MexR and NalD, and indirectly by another repressor, NalC.
NalD	mexAB-oprM	represses	establecida	Bombas RND	NalD = PA3574, familia TetR; se une al promotor proximal (PII) de mexAB-oprM	true	13	26844397,27412168,28584154,29033910,40794867	Interestingly, the mexAB-oprM operon is also directly repressed by NalD, which belongs to the TetR family of transcriptional regulators (33, 34).
NalD	nalD	represses	probable	Bombas RND	autorrepresion tipica de TetR; ninguna oracion del corpus la afirma	false	0		
NfxB	mexCD-oprJ	represses	establecida	Bombas RND	NfxB = PA4600; mexCD-oprJ = PA4599-PA4597; mutantes nfxB = fenotipo de resistencia a ciprofloxacino	true	13	21646492,23762483,27993856,29307490,38478426	nfxB encodes a negative regulator of the mexCD-oprJ genes for drug efflux in the opportunistic pathogen Pseudomonas aeruginosa.
NfxB	nfxB	represses	establecida	Bombas RND	autorrepresion sobre la region intergenica nfxB-mexC	true	1	23762483	nfxB, which is located upstream of mexCD-oprJ but divergently transcribed from this operon, encodes a transcriptional repressor that regulates MexCD-OprJ and its own expression by binding to the nfxB-mexC intergenic region [17], [18].
ParR	arnBCADTEF	activates	establecida	Bombas RND	arnBCADTEF = pmrHFIJKLM = operon arnBCADTEF-ugd (PA3552-PA3558)	true	8	24034668,24291602,25505462,29033910,40429820	ParR, a transcriptional regulator of the ParRS TCS, contributes to adaptive resistance to polymyxin B and colistin by activating the arn operon involved in LPS modification [78].
ParR	mexXY	activates	establecida	Bombas RND	ParR = PA1799, regulador de respuesta del sistema ParRS (ParS = PA1798); mutantes agrW2	true	9	21149619,24034668,29033910,38345374,40429820	In the presence of antimicrobial agents such as indolicidin, the ParR protein promotes drug resistance through several known, distinct mechanisms including: activating the mexXY efflux genes, suppressing the expression of oprD porin, and enhancing lipopolysaccharide modification through the arn genes (9).
ParR	oprD	represses	establecida	Bombas RND	ParRS = PA1798-PA1799	true	5	24034668,29033910,38345374,41772443,42610700	Interestingly, data from all three studies indicate that ParS/ParR are responsible for the repression of the oprD gene (basic amino acid and carbapenem permeable porin) (Additional file 4: Table S4, Additional file 6: Figure S3A).
Anr	arcDABC	activates	establecida	Dos componentes T3SS	ANR, anr; homologo de FNR; blanco: operon de la arginina deiminasa	true	5	24587139,41050759,40772714,29263410,24999454	The arcDABC operon is also induced in oxygen limited environment by Anr, a transcriptional activator of protein expression in anaerobiosis [37], and in the presence of arginine through the binding of ArgR (Figure S3) [34], [38].
Anr	ccoN2	activates	establecida	Dos componentes T3SS	ANR, anr; ccoN2 = cco2, oxidasa cbb3-2; tambien escrito ccoP2	true	4	37398129,36036571,29263410,38112469	Examining reporter fluorescence in liquid cultures, we further found that MpaR is required for expression of ccoN4 while its loss has minimal effect on cco1 expression and only a partial effect on the expression of cco2, which is a well established target of Anr (24, 26, 39) (Figures 3A).
Anr	dnr	activates	establecida	Dos componentes T3SS	ANR, anr; Dnr = dissimilative nitrate respiration regulator	true	8	34759894,24587139,22587778,41050759,29218039	the dnr gene is transcriptionally activated by Anr, the dnr mRNA levels were also expected to decrease
Anr	hcnABC	activates	establecida	Dos componentes T3SS	ANR, anr; hcnABC = HCN sintasa, PA2193-PA2195	true	5	31357168,24999454,24587139,31227753,29263410	The hcnABC operon encoding HCN synthase is activated synergistically by LasR, RhlR, and the anaerobic regulator ANR (Pessi and Haas, 2000).
Anr	narK1K2GHJI	activates	establecida	Dos componentes T3SS	ANR, anr; regulacion conjunta con Dnr y NarXL	true	3	41050759,19935885,31227753	The narK1 promoter activity is modulated by both Anr and Dnr, with Anr being indispensable for its baseline activation, while Dnr enhances promoter activity independently of Anr (Schreiber et al., 2007).
ExsA	exoS	activates	establecida	Dos componentes T3SS	exsA; blanco: operon exoS-spcS	true	6	37492705,25034696,35752612,39146292,24058462	The downstream T3SS effectors (such as exoS, exoT and exoY) are also directly regulated by ExsA, PA2572/PA2573, CbrAB and RocS1/A1.
ExsA	exoT	activates	establecida	Dos componentes T3SS	exsA	true	5	37492705,25034696,34064685,35752612,35959145	This suggests the possibility of the head to head or tail to tail, but also head to tail PA3027 self-interaction, similar to the one previously observed, for example, for the AraC regulator ExsA from P. aeruginosa, bound to the promoters of regulated genes (exsC, exsD, exoT, pcrG) [26].
ExsA	exoU	activates	establecida	Dos componentes T3SS	exsA; exoU solo esta presente en cepas tipo PA14 (isla PAPI-2), no en PAO1	true	2	25672496,35752612	The promoter region of exoU has a binding motif (TXAAAAXA) for the transcriptional activator, ExsA [28,29].
ExsA	exoY	activates	establecida	Dos componentes T3SS	exsA	true	3	37492705,25034696,35752612	We next sought to examine the impact of vqsM on expression of ExsA-controlled genes, such as exoS, exoY and exoT (33).
ExsA	exsCEBA	activates	establecida	Dos componentes T3SS	exsA; regulador maestro tipo AraC del T3SS; blanco: operon exsC-exsE-exsB-exsA (autorregulacion)	true	14	38029243,32546612,23279839,25034696,25520826	ExsA also activates its own expression via the P exsC promoter which drives an operon consisting of exsC, exsE, exsB and exsA genes (Williams McMackin et al., 2019a).
ExsA	pcrV	activates	establecida	Dos componentes T3SS	exsA; blanco: operon pcrGVH-popBD	true	2	38660402,25520826	Compared to the PAO1 WT strain, deletion of exsA resulted in undetectable exsA mRNA and a substantial decrease in the mRNA level of pcrV (Figure 1D).
ExsA	pscN-pscU	activates	establecida	Dos componentes T3SS	exsA; blanco: operon del aparato de secrecion pscN-pscU	true	1	25520826	In the exoenzyme S regulon, ExsA regulates the transcription of five operons (exsD-pscL, exsCBA, pscG-popD, popN-pcrR, and pscN-pscU) encoding TTSS and the translocation machinery (Figure 2) [48].
ExsA	spcS	activates	establecida	Dos componentes T3SS	exsA; spcS = chaperona de ExoS, segundo gen del operon exoS-spcS	false	0		
ExsD	exsA	represses	establecida	Dos componentes T3SS	exsD; anti-activador; la inhibicion es proteina-proteina, no union a promotor	true	10	23279839,22587778,25520826,32430407,36533916	Prior to T3SS induction, the anti-activator protein ExsD binds to ExsA and blocks ExsA-dependent transcription by interfering with ExsA dimerization and promoter interactions.
GacA	exoS	represses	establecida	Dos componentes T3SS	gacA; represion indirecta via rsmY/rsmZ y secuestro de RsmA	true	2	20398205,19602144	In the case of the exoS gene (representative for T3SS genes), we observed that expression is quasi null in the retS background, but dramatically relieved when the gacA mutation or the double rsmY/rsmZ mutation was further introduced.
GacA	rsmY	activates	establecida	Dos componentes T3SS	gacA; GacS/GacA TCS; regulador de respuesta del sistema Gac	true	20	19602144,19426209,20398205,18405392,27176226	We also present evidence that GacA regulates rsmY and rsmZ by directly binding to sequences upstream of these genes.
GacA	rsmZ	activates	establecida	Dos componentes T3SS	gacA; GacS/GacA TCS	true	20	18405392,19602144,19426209,20398205,24497189	Confirming earlier results [9], we see that rsmZ expression depends on positive control by GacA, but is independent of RpoS (Figure 2c).
GacS	rsmY	activates	establecida	Dos componentes T3SS	gacS; cinasa sensora hibrida del sistema Gac	true	12	19426209,19602144,20398205,23363478,27176226	Throughout the growth phase, the expression of both rsmY and rsmZ was strongly elevated in the retS mutant, while the two small RNAs were not expressed in strains where either gacA or gacS were mutated.
GacS	rsmZ	activates	establecida	Dos componentes T3SS	gacS	true	13	19602144,19426209,20398205,24497189,23363478	These results demonstrate that in P. aeruginosa, the GacS/GacA system transduces the regulatory signals to downstream genes exclusively by directly controlling the expression of only two genes rsmY and rsmZ.
HptB	rsmY	represses	establecida	Dos componentes T3SS	hptB; proteina de histidin-fosfotransferencia PA3345	true	7	20398205,28119684,27176226,26157434,24852379	The rsmY-lacZ fusion was also upregulated in the hptB mutant (Fig.
LadS	rsmY	activates	establecida	Dos componentes T3SS	ladS; cinasa sensora hibrida huerfana	true	6	27176226,34445336,23363478,24157832,34830033	We demonstrated that the LadS HK not only controls the expression of rsmZ but also the expression of rsmY, and thus modulates the production of Pel EPS, H1-T6SS and T3SS targets.
LadS	rsmZ	activates	establecida	Dos componentes T3SS	ladS	true	9	20398205,27176226,23363478,24497189,34445336	We have previously shown that expression of rsmZ is positively controlled by the LadS pathway and negatively by the RetS pathway (Ventre et al., 2006).
PhoP	arnBCADTEF	activates	establecida	Dos componentes T3SS	phoP; blanco tambien llamado pmrHFIJKLM, operon PA3552-PA3559	true	5	25505462,21858064,22195037,37278652,23705831	Unlike A. baumannii, P. aeruginosa has both the pmrA/pmrB and phoP/phoQ TCSs, each of which can separately regulate the arnBCADTEF operon (McPhee et al., 2003).
PhoP	oprH	activates	establecida	Dos componentes T3SS	phoP; PhoP/PhoQ TCS; oprH cotranscrito en el operon oprH-phoP-phoQ	true	3	21858064,39592545,22195037	The exclusively PhoP-controlled gene oprH was maximally induced at the middle stage of growth, 13.5 h.
PmrA	arnBCADTEF	activates	establecida	Dos componentes T3SS	pmrA; PmrA/PmrB TCS = PA4776-PA4777; blanco = pmrHFIJKLM, PA3552-PA3559	true	6	25505462,21858064,37278652,34531843,23705831	An extensive genetic analysis of pmrA/pmrB of spontaneous colistin-resistant mutants has further identified numerous mutations, including a total of 27 independent missense mutations in the pmrA and pmrB genes that all result in the elevated expression of arnB (pmrH) (Sun et al., 2009).
PmrA	PA4773	activates	establecida	Dos componentes T3SS	pmrA; PA4773-PA4775 = speD2/speE2, sintesis de espermidina; PA4774 aparece mas seguido que PA4773	true	3	23419933,21858064,32015046	While the pmr operon is directly controlled by both PmrA and PhoP (McPhee et al., 2003, 2006), we identified a three-gene cluster upstream of PmrAB with homology to spermidine synthesis genes PA4773 (speD) and PA4774 (speE) that is controlled exclusively by PmrAB (McPhee et al., 2003).
RetS	rsmY	represses	establecida	Dos componentes T3SS	retS; RtsM; cinasa sensora hibrida huerfana	true	11	20398205,19602144,19426209,21858064,35196795	In Pseudomonas aeruginosa, the RetS sensor pathway downregulates expression of two sRNAs, rsmY and rsmZ.
RetS	rsmZ	represses	establecida	Dos componentes T3SS	retS; RtsM	true	12	20089442,20398205,19602144,19426209,19936057	RetS exerts its regulatory effect by suppressing rsmZ transcription thereby favoring the acute infection program [5].
RsmA	exsA	activates	establecida	Dos componentes T3SS	rsmA; homologo de CsrA	true	8	32546612,23363478,29718466,38660402,39146292	Previous studies have shown that the small RNA-binding protein RsmA is required for the synthesis of both Vfr and ExsA (39).
RsmA	pslA	represses	establecida	Dos componentes T3SS	rsmA; homologo de CsrA; blanco: operon pslA-pslN, psl	true	9	20735777,26157434,33281751,25866808,34445336	RsmA overexpression further reduced the activity below the WT level, providing additional evidence that RsmA acts as a repressor of psl.
Vfr	exsA	activates	establecida	Dos componentes T3SS	vfr; virulence factor regulator; homologo de CRP dependiente de cAMP	true	8	32546612,34259549,24279383,36036571,35959145	Vfr is a cAMP-responsive transcription factor that activates exsA transcription.
Vfr	fimU	activates	probable	Dos componentes T3SS	vfr; blanco: operon de pilinas menores fimU-pilVWXY1Y2E	true	2	30042200,25626906	Genes that were dysregulated similarly by at least twofold in both the pilA and pilR mutants are summarized in Table S1 and included several T4P-associated genes such as tsaP (30), and minor pilin genes fimU, pilV, pilW, pilY1, and pilE (31), previously identified as being Vfr dependent (28).
Vfr	fleQ	represses	establecida	Dos componentes T3SS	vfr; fleQ = regulador maestro flagelar	true	4	33281751,38436566,37492705,24279383	Vfr acts as a transcriptional repressor of the fleQ promoter (Dasgupta et al., 2002).
Vfr	pilMNOPQ	activates	probable	Dos componentes T3SS	vfr; operon de biogenesis del pilus tipo IV pilMNOPQ	false	0		
Vfr	rhlR	activates	establecida	Dos componentes T3SS	vfr	true	5	36036571,24279383,25166864,41810971,32265330	Since Vfr was previously shown to directly activate transcription of rhlR (67, 68), one can assume that lower abundance levels of Vfr could also contribute to the decrease of rhlR transcription and of virulence on C. elegans (Fig.
Vfr	toxA	activates	establecida	Dos componentes T3SS	vfr; toxA = exotoxina A; parte del efecto es indirecto via PtxR	true	2	24279383,22844393	Through the examination of the promoter regions of genes regulated by Vfr including lasR, toxA, pvdS, prpL, and algD, Kanack et al. developed a 21-bp Vfr binding consensus sequence that consist of two halves and contain several conserved nucleotides within each half [18].
AlgB	algD	activates	establecida	Factores sigma	AlgB es un regulador de respuesta dependiente de sigma-54 (RR)	true	16	34830033,22511872,26309248,32203410,37492705	AlgB RR directly binds to the algD promoter, which is a key gene for alginate biosynthesis [45], which is crucial for P.
AlgR	algD	activates	establecida	Factores sigma	AlgR es el regulador de respuesta del TCS AlgZ(FimS)-AlgR	true	44	24999454,22511872,26206672,34830033,29263410	Transcription of algD is dependent on AlgR, as algR deletion in phenotypically mucoid backgrounds abrogated algD promoter activity as well as, alginate production (Deretic et al., 1987a, 1989;
AlgR	fimU	activates	establecida	Factores sigma	el blanco es el operon completo fimU-pilVWXY1Y2E (pseudopilinas, motilidad de contraccion)	true	13	24999454,26206672,29382736,28510688,35073734	AlgR regulates type IVa pili function and twitching motility through transcriptional activation of the fimUpilVWXY1Y2E operon, as an algR deletion abrogated expression from this operon (Lizewski et al., 2004;
AlgR	hcnABC	regulates	probable	Factores sigma	operon hcnABC (cianuro de hidrogeno)	true	11	22479525,24852379,24999454,26206672,29263410	AlgR regulates the hcnABC operon genes (PA2193-PA2195) involved in hydrogen cyanide synthesis in P.
AlgU	algB	activates	probable	Factores sigma	AlgB es el regulador de respuesta del TCS KinB-AlgB	true	17	30782665,32203410,18599839,22497280,37569271	Under these conditions, the algT regulon, including the alginate biosynthesis operon, algB, algR, and amrZ, are not transcribed.
AlgU	algC	activates	establecida	Factores sigma	AlgC es fosfomanomutasa/fosfoglucomutasa, compartida por alginato, Psl, Pel y LPS	true	9	29263410,28325763,29497413,34445336,26104694	Disruption of MucA results in release of AlgT, activating transcription of the algC gene, genes encoded in the alginate biosynthetic operon (alg operon, under control of the algD promoter PalgD), and bis-(3',5')-cyclic dimeric GMP (c-di-GMP)-all required for alginate synthesis.
AlgU	algD	activates	establecida	Factores sigma	AlgU=AlgT=sigma-22=RpoE; algD encabeza el operon algD-alg8-alg44-algKEGXLIJFA	true	57	22589289,23533140,23991093,18599839,8761660	This 22-kDa alternative sigma factor, encoded by algT (also known as algU), is essential for expression of the algD promoter (PalgD), which controls the expression of the 12-gene alginate biosynthetic operon (algD-alg8-alg44-algKEGXLIJFA) (10-12).
AlgU	algR	activates	establecida	Factores sigma	el blanco real es el operon fimS(algZ)-algR	true	42	24138584,24852379,29263410,22479525,32203410	As a sigma factor, AlgU drives transcription of the alginate biosynthetic gene algD[5] and the alginate regulator gene algR[26].
AlgU	algU	activates	establecida	Factores sigma	autorregulacion del operon algU-mucABCD por el promotor P1/PalgU	true	24	18599839,23533140,22589289,22497280,29263410	The P1 promoter of algU has been reported to be an AlgU-dependent autoregulatory promoter (Firoved & Deretic, 2003;
AlgU	amrZ	activates	establecida	Factores sigma	AmrZ se llamo AlgZ antes de 2006; ojo, hay otro AlgZ que es FimS	true	22	22511872,24670089,29497413,30782665,32203410	Both the algD operon and amrZ are under the control of the alternative sigma factor AlgT (AlgU/sigma22) [32].
AlgU	fliC	represses	probable	Factores sigma	fliC = flagelina tipo B; la represion es indirecta, via AmrZ -> fleQ	true	3	24138584,31158231,18524926	previously reported that AlgU can negatively regulate flagellin type B and repress flagella expression [33].
AlgU	oprF	activates	establecida	Factores sigma	OprF es la porina mayoritaria de membrana externa; comparte control con SigX	true	4	26157434,33143386,33193206,38521769	OprF expression is controlled by at least two extracytoplasmic function (ECFs) sigma factors, AlgU and SigX (Brinkman et al.
AlgU	rpoH	activates	establecida	Factores sigma	RpoH=sigma-32, el sigma de choque termico	true	8	25780925,26441945,24852379,33193206,36675051	We found only a direct impact of AlgU on rpoH expression, while indirect cross talk was identified between RpoH and algU as well between FpvI and fecI2.
AmrZ	algD	activates	establecida	Factores sigma	AmrZ=AlgZ	true	17	22511872,24603766,24670089,26309248,33143386	AmrZ functions as a transcriptional activator at the algD promoter and binds 282 base pairs upstream of the transcriptional start site.
AmrZ	amrZ	represses	establecida	Factores sigma	autorrepresion en los sitios amrZ1 y amrZ2 del propio promotor	true	8	22511872,24603766,24670089,26549743,31474950	Finally, AmrZ also represses its own transcription by binding to two sites on the amrZ promoter, amrZ1 and amrZ2 [9].
AmrZ	fleQ	represses	establecida	Factores sigma	AmrZ=AlgZ (nombre historico); FleQ es el regulador maestro flagelar	true	19	22511872,24603766,24670089,18524926,31158231	Reciprocal to this, AmrZ represses fleQ, which encodes an activator of flagellum expression [7].
AmrZ	psl	represses	establecida	Factores sigma	operon pslA-pslN; AmrZ=AlgZ	true	18	24603766,26549743,29497413,31474950,36533916	AmrZ activates alginate transcription and twitching motility, but represses Psl, flagella, and c-di-GMP production (Figure 7).
GacA	rpoS	regulates	probable	Factores sigma	GacA es el regulador de respuesta del TCS GacS/GacA	true	20	12823806,12879217,18405392,28553272,24157832	Global regulatory systems, the GacA/GacS two component system and quorum sensing all affect rpoS expression, as does the TetR family PsrA regulator that directly binds to- and activates the rpoS promoter in stationary phase.
MucA	algU	represses	establecida	Factores sigma	MucA es el factor anti-sigma cognado; el mecanismo es secuestro proteico, no represion transcripcional	true	92	23533140,18599839,19298369,24852379,24913916	MucA is a negative regulator of alginate overproduction because it sequesters AlgU (AlgT, sigmaE, sigma22), the primary sigma factor responsible for activation of the alginate biosynthetic operon at the algD promoter (Wozniak and Ohman 1994).
