Entry	Gene Names	Gene Ontology IDs	Keywords
P51691	atsA PA0183	GO:0004065; GO:0005737; GO:0008081; GO:0046872	3D-structure;Calcium;Cytoplasm;Direct protein sequencing;Hydrolase;Metal-binding;Reference proteome
Q00515	xcpU pddB PA3100	GO:0005886; GO:0015627; GO:0015628; GO:0044010; GO:0071978	Cell inner membrane;Cell membrane;Membrane;Methylation;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q51366	gmd gca PA5453	GO:0008446; GO:0009103; GO:0009243; GO:0019306; GO:0042351; GO:0070401	3D-structure;Lipopolysaccharide biosynthesis;Lyase;NADP;Reference proteome
Q51424	ruvC PA0965	GO:0000287; GO:0003677; GO:0005737; GO:0006281; GO:0006310; GO:0008821; GO:0048476	3D-structure;Cytoplasm;DNA damage;DNA recombination;DNA repair;DNA-binding;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome
Q51507	pchB PA4230	GO:0004106; GO:0009697; GO:0016835; GO:0042864; GO:0043904; GO:0046417	3D-structure;Direct protein sequencing;Isomerase;Lyase;Reference proteome
Q9HTK9	alkT PA5349	GO:0005737; GO:0015044; GO:0015046; GO:0016491; GO:0043448; GO:0050660	3D-structure;Cytoplasm;FAD;Flavoprotein;NAD;Oxidoreductase;Reference proteome
Q9HTN2	argB PA5323	GO:0003991; GO:0005524; GO:0005737; GO:0006526; GO:0042450	3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Cytoplasm;Direct protein sequencing;Kinase;Nucleotide-binding;Reference proteome;Transferase
Q9HU15	fabY PA5174	GO:0004315; GO:0005829; GO:0006633; GO:0009245; GO:0009372; GO:0016020; GO:0019290; GO:0033818	3D-structure;Acyltransferase;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase
Q9HUF7	waaP rfaP PA5009	GO:0004715; GO:0005524; GO:0005737; GO:0009244; GO:0016301	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Kinase;Lipopolysaccharide biosynthesis;Magnesium;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Tyrosine-protein kinase
Q9HUK9	rhdA PA4956	GO:0004792; GO:0005737; GO:0009636; GO:0016783	Cytoplasm;Detoxification;Reference proteome;Repeat;Transferase
Q9HUU1	PA4872	GO:0000287; GO:0006107; GO:0008948; GO:0019629; GO:0042866; GO:0046421	3D-structure;Decarboxylase;Lyase;Magnesium;Metal-binding;Reference proteome
Q9HWF9	ftnA bfrA PA4235	GO:0004322; GO:0005506; GO:0005829; GO:0006826; GO:0006879; GO:0008199; GO:0140315	3D-structure;Cytoplasm;Direct protein sequencing;Ion transport;Iron;Iron storage;Iron transport;Metal-binding;Oxidoreductase;Reference proteome;Transport
Q9HWH2	phzM PA4209	GO:0008171; GO:0008757; GO:0032259; GO:0042802; GO:0042803; GO:0102168; GO:0106220; GO:1904047	3D-structure;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
Q9HYF1	PA3455	GO:0006797; GO:0016301; GO:0042802; GO:0043751	3D-structure;Kinase;Magnesium;Reference proteome;Repeat;Transferase
Q9HZQ8	lap PA2939	GO:0004177; GO:0005576; GO:0006508; GO:0008235; GO:0015628; GO:0043952; GO:0046872	3D-structure;Aminopeptidase;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Signal;Zinc;Zymogen
Q9I060	mep72 PA2783	GO:0004175; GO:0005615; GO:0008237; GO:0009279; GO:0016798; GO:0019867; GO:0046872; GO:0097264	Autocatalytic cleavage;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal;Zinc;Zymogen
Q9I0F2	pfeE PA2689	GO:0016788; GO:0042597; GO:0052689	3D-structure;Hydrolase;Periplasm;Reference proteome;Serine esterase;Signal
Q9I0U1	tamA PA2543	GO:0009279; GO:0009306; GO:0032977; GO:0043165; GO:0051205; GO:0089705; GO:0097347	3D-structure;Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Translocation;Transmembrane;Transmembrane beta strand;Transport
Q9I0Z0	mexT nfxC PA2492	GO:0000976; GO:0001216; GO:0006351; GO:0006355; GO:0032993; GO:0045861; GO:0045893; GO:0050709; GO:1900377	3D-structure;Antibiotic resistance;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9I190	pvdT PA2390	GO:0002049; GO:0005524; GO:0005886; GO:0015562; GO:0016887; GO:0022857; GO:1990281	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
Q9I1K1	pbpC PA2272	GO:0000917; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0043093; GO:0071555	Carboxypeptidase;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Reference proteome;Septation;Transmembrane;Transmembrane helix
Q9I5W4	impA PA0572	GO:0005615; GO:0006508; GO:0008237; GO:0015628; GO:0030163; GO:0043952; GO:0046872; GO:1903237	3D-structure;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal;Zinc
Q9I6M7	vgrG2b PA0262	GO:0005576; GO:0016787; GO:0033103; GO:0033104; GO:0046872	3D-structure;Hydrolase;Metal-binding;Reference proteome;Secreted;Zinc
Q9I6V6	mcpB aer-2 aer2 tlpG PA0176	GO:0004888; GO:0005737; GO:0005886; GO:0006935; GO:0007165; GO:0009454; GO:0042802; GO:0046872; GO:0052131	3D-structure;Cytoplasm;Heme;Iron;Metal-binding;Methylation;Reference proteome;Repeat;Transducer
Q9ZN70	ppx PA5241	GO:0004309; GO:0005886; GO:0006798; GO:0006995; GO:0008976; GO:0009247; GO:0009372; GO:0016036; GO:0044010; GO:0071977; GO:0071978	Cell membrane;Hydrolase;Magnesium;Membrane;Reference proteome;Transferase
G3XD94	wbpA PA3159	GO:0000271; GO:0003954; GO:0009243; GO:0016020; GO:0016491; GO:0016628; GO:0047004; GO:0051287; GO:0071555	Cell wall biogenesis/degradation;Lipopolysaccharide biosynthesis;Membrane;NAD;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
O33407	estA papA PA5112	GO:0008610; GO:0009247; GO:0009279; GO:0016298; GO:0044010; GO:0048870; GO:0052689; GO:0071973; GO:0071978; GO:0106435	3D-structure;Cell outer membrane;Hydrolase;Membrane;Reference proteome;Serine esterase;Signal;Transmembrane;Transmembrane beta strand
P0DPC1	phzD2 phzD PA1902	GO:0002047; GO:0005829; GO:0008908	3D-structure;Antibiotic biosynthesis;Hydrolase;Reference proteome;Virulence
P11439	eta PA1148	GO:0001907; GO:0016779; GO:0047286; GO:0090729; GO:0141155	3D-structure;Direct protein sequencing;Disulfide bond;Glycosyltransferase;NAD;Nucleotidyltransferase;Reference proteome;Signal;Toxin;Transferase;Virulence
P20582	pqsD PA0999	GO:0004315; GO:0005737; GO:0016746; GO:0030497; GO:0033818; GO:0044550	3D-structure;Acyltransferase;Cytoplasm;Reference proteome;Transferase
P24474	nirS PA0519	GO:0009055; GO:0020037; GO:0042597; GO:0046872; GO:0050418; GO:0050421	3D-structure;Direct protein sequencing;Electron transport;Heme;Iron;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Signal;Transport
P24559	pilT PA0395	GO:0005524; GO:0005829; GO:0016887; GO:0043107; GO:0043108; GO:0044096	3D-structure;ATP-binding;Cytoplasm;Fimbrium biogenesis;Nucleotide-binding;Reference proteome;Transport
P26993	exsA PA1713	GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0043565; GO:0050709; GO:2000144	3D-structure;Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
P35818	xcpQ PA3105	GO:0009279; GO:0009306; GO:0015627; GO:0015628; GO:0042802	3D-structure;Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P45684	rpoS PA3622	GO:0000976; GO:0003899; GO:0005737; GO:0006352; GO:0006355; GO:0016987; GO:0050921; GO:1900034; GO:1900233; GO:1900377; GO:1900407; GO:1901000; GO:1903865; GO:2000145	3D-structure;Cytoplasm;DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation
P54292	rhlR lasM vsmR PA3477	GO:0000976; GO:0001216; GO:0001217; GO:0003700; GO:0005737; GO:0006351; GO:0009372; GO:0010467; GO:0032993; GO:0038023; GO:0045862; GO:0045893; GO:0046889; GO:0062162; GO:1900378	3D-structure;Activator;Cytoplasm;DNA-binding;Quorum sensing;Reference proteome;Repressor;Transcription;Transcription regulation
P72131	ptxR PA2258	GO:0000976; GO:0001216; GO:0003950; GO:0006351; GO:0006355; GO:0032993; GO:0045862; GO:0045893; GO:1900377	Activator;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
Q03023	aprA PA1249	GO:0001869; GO:0004222; GO:0005509; GO:0005615; GO:0006508; GO:0008233; GO:0008270; GO:0010765; GO:0031012; GO:0045959; GO:0141141	3D-structure;Calcium;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Repeat;Secreted;Zinc;Zymogen
Q06749	algL PA3547	GO:0004794; GO:0042121; GO:0042122; GO:0042597; GO:0045135	3D-structure;Direct protein sequencing;Lyase;Periplasm;Reference proteome;Signal
Q59636	ndk PA3807	GO:0004550; GO:0005524; GO:0005737; GO:0006163; GO:0006183; GO:0006220; GO:0006228; GO:0006241; GO:0042121; GO:0046872	ATP-binding;Cytoplasm;Kinase;Magnesium;Metal-binding;Nucleotide metabolism;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase
Q59643	hemB PA5243	GO:0004655; GO:0005829; GO:0006779; GO:0006782; GO:0006783; GO:0008270	3D-structure;Heme biosynthesis;Lyase;Magnesium;Metal-binding;Porphyrin biosynthesis;Reference proteome
Q9HTC0	wbpZ PA5447	GO:0000030; GO:0005737; GO:0009103; GO:0009243; GO:0016757; GO:0016758; GO:0033296; GO:0071236	Antibiotic resistance;Cytoplasm;Glycosyltransferase;Lipopolysaccharide biosynthesis;Reference proteome;Transferase
Q9HUT5	brlR PA4878	GO:0000166; GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0045892; GO:0045893	3D-structure;Activator;DNA-binding;Nucleotide-binding;Reference proteome;Repressor;Transcription;Transcription regulation
Q9HV30	cueR PA4778	GO:0003677; GO:0003700; GO:0005507; GO:0005737; GO:0006351; GO:0045893	Activator;Copper;Cytoplasm;DNA-binding;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation
Q9HVI9	mexD PA4598	GO:0005886; GO:0009636; GO:0015562; GO:0042910	Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HWJ2	PA4189	GO:0000166; GO:0004030	3D-structure;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
Q9HY80	bfd PA3530	GO:0046872; GO:0051537	2Fe-2S;3D-structure;Electron transport;Iron;Iron-sulfur;Metal-binding;Reference proteome;Transport
Q9HY91	flcD PA3518	GO:0004553; GO:0016491; GO:0042597; GO:0046872	3D-structure;Antibiotic biosynthesis;Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome
Q9HYC5	tse3 PA3484	GO:0003796; GO:0005576; GO:0033644; GO:0046872	3D-structure;Calcium;Host membrane;Hydrolase;Membrane;Metal-binding;Reference proteome;Secreted
Q9HZJ2	fadB PA3014	GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0016509; GO:0018812; GO:0036125; GO:0070403	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase;Reference proteome
Q9I234	kynB PA2081	GO:0004061; GO:0004328; GO:0008270; GO:0019441; GO:0043420	3D-structure;Hydrolase;Metal-binding;Reference proteome;Tryptophan catabolism;Zinc
Q9I2Y2	thrH PA1757	GO:0000287; GO:0005737; GO:0006564; GO:0009088; GO:0016311; GO:0036424; GO:0043899; GO:0046654; GO:0046820	3D-structure;Amino-acid biosynthesis;Hydrolase;Magnesium;Metal-binding;Reference proteome;Serine biosynthesis
Q9I4G8	loxA PA1169	GO:0005576; GO:0006631; GO:0016165; GO:0016702; GO:0034440; GO:0042597; GO:0046872; GO:0050473	3D-structure;Dioxygenase;Fatty acid metabolism;Iron;Lipid metabolism;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Secreted;Signal
Q9I596	PA0845	GO:0005576; GO:0016020; GO:0017040; GO:0042759; GO:0046512; GO:0046514; GO:0046872; GO:0051872	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid metabolism;Magnesium;Metal-binding;Reference proteome;Secreted;Signal;Zinc
Q9I700	bauA PA0132	GO:0004015; GO:0009102; GO:0016223; GO:0019483; GO:0030170	3D-structure;Aminotransferase;Pyridoxal phosphate;Pyruvate;Reference proteome;Transferase
G3XCW3	wzy rfc PA3154	GO:0005886; GO:0008755; GO:0009103; GO:0009243; GO:0009276; GO:0016020; GO:0016757; GO:0043165; GO:0098567	Cell inner membrane;Cell membrane;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
G3XCY4	amrZ PA3385	GO:0000976; GO:0001217; GO:0003677; GO:0006351; GO:0032885; GO:0032993; GO:0043107; GO:0043565; GO:0044780; GO:0045892; GO:1900232; GO:1900233; GO:1902201; GO:2000147	3D-structure;Activator;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
G3XD24	pctA PA4309	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0016597; GO:0043200	3D-structure;Cell inner membrane;Cell membrane;Chemotaxis;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
G3XD97	ptxS PA2259	GO:0000976; GO:0001217; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0045892	DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
O50274	cysNC cysN PA4442	GO:0000103; GO:0003924; GO:0004020; GO:0004781; GO:0005524; GO:0005525; GO:0006790; GO:0009970; GO:0070814	ATP-binding;GTP-binding;Kinase;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase
O69078	csrA rsmA PA0905	GO:0005829; GO:0006109; GO:0006402; GO:0009372; GO:0030254; GO:0033103; GO:0043455; GO:0045947; GO:0045948; GO:0048027; GO:1900190	3D-structure;Activator;Cytoplasm;Reference proteome;Repressor;RNA-binding;Translation regulation
P04739	pilA fimA PA4525	GO:0005829; GO:0005886; GO:0009289; GO:0009986; GO:0043107; GO:0043709; GO:0044011; GO:0044096; GO:0044167; GO:0050848	3D-structure;Cell inner membrane;Cell membrane;Disulfide bond;Fimbrium;Host endoplasmic reticulum;Host membrane;Membrane;Methylation;Reference proteome;Transmembrane;Transmembrane helix
P08308	arcB PA5172	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0019546; GO:0042450	3D-structure;Arginine metabolism;Cytoplasm;Direct protein sequencing;Reference proteome;Transferase
P09785	phnA trpE PA1001	GO:0000162; GO:0002047; GO:0004049; GO:0046872	Lyase;Magnesium;Metal-binding;Reference proteome;Virulence
P11759	algD PA3540	GO:0006970; GO:0036460; GO:0042121; GO:0044010; GO:0047919; GO:0051287	3D-structure;Alginate biosynthesis;Direct protein sequencing;NAD;Oxidoreductase;Reference proteome
P23747	algB PA5483	GO:0000160; GO:0000987; GO:0001216; GO:0005524; GO:0006351; GO:0032993; GO:0042121; GO:0045862; GO:0045893; GO:1900232; GO:1900378; GO:2000147	Activator;Alginate biosynthesis;ATP-binding;DNA-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
P24734	ampR PA4109	GO:0003700; GO:0005737; GO:0006351; GO:0006355; GO:0016020; GO:0043565; GO:0045862; GO:0050714; GO:1900232; GO:1900378	3D-structure;Activator;Cytoplasm;DNA-binding;Membrane;Reference proteome;Transcription;Transcription regulation
P33639	pilS PA4546	GO:0000155; GO:0005524; GO:0005886; GO:0007165; GO:0060491	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
P52002	mexB PA0426	GO:0005886; GO:0015562; GO:0042910; GO:0046677; GO:0055085; GO:0140330; GO:1990281	3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P53593	sucC PA1588	GO:0000287; GO:0004550; GO:0004775; GO:0004776; GO:0005524; GO:0005829; GO:0006099; GO:0006104; GO:0009142; GO:0042709; GO:0046777	ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Tricarboxylic acid cycle
Q51371	algG PA3545	GO:0016853; GO:0042121; GO:0042597	Alginate biosynthesis;Direct protein sequencing;Isomerase;Periplasm;Reference proteome;Repeat;Signal
Q51487	oprM oprK PA0427	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0046677; GO:0055085; GO:0140330; GO:1990281	3D-structure;Antibiotic resistance;Cell outer membrane;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q51548	pvdA pvd-1 PA2386	GO:0002049; GO:0005737; GO:0005886; GO:0006879; GO:0031172	3D-structure;Cell inner membrane;Cell membrane;FAD;Flavoprotein;Membrane;Monooxygenase;NADP;Oxidoreductase;Reference proteome
Q9HTI4	gbdR PA5380	GO:0000976; GO:0001216; GO:0006351; GO:0006355; GO:0009896; GO:0010518; GO:0010922; GO:0031457; GO:0032993; GO:0045764; GO:0045893	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HTR2	pchP PA5292	GO:0016787; GO:0042597; GO:0046872	3D-structure;Disulfide bond;Hydrolase;Magnesium;Metal-binding;Periplasm;Reference proteome;Signal;Virulence
Q9HU21	rmlC PA5164	GO:0000271; GO:0005829; GO:0008830; GO:0009103; GO:0009244; GO:0019305	3D-structure;Carbohydrate metabolism;Isomerase;Lipopolysaccharide biosynthesis;Reference proteome
Q9HV27	PA4781	GO:0000160; GO:0004112; GO:0009214; GO:0046872; GO:0071111; GO:1900231; GO:2000147	3D-structure;c-di-GMP;Hydrolase;Metal-binding;Phosphoprotein;Reference proteome
Q9HVM5	lspA ls PA4559	GO:0004175; GO:0004190; GO:0005886; GO:0006465	3D-structure;Aspartyl protease;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix
Q9HWS0	PA4108	GO:0046872; GO:0071111; GO:1900231; GO:2000147	c-di-GMP;Hydrolase;Metal-binding;Reference proteome
Q9HWT6	hpaC PA4092	GO:0006208; GO:0010181; GO:0016651; GO:0036382; GO:0042537; GO:0042602; GO:0050660; GO:0051287	Aromatic hydrocarbons catabolism;FAD;Flavoprotein;NAD;Oxidoreductase;Reference proteome
Q9HX69	rocR sadR PA3947	GO:0000160; GO:0005886; GO:0045892; GO:0046872; GO:0071111	3D-structure;c-di-GMP;Hydrolase;Magnesium;Metal-binding;Phosphoprotein;Reference proteome;Sensory transduction
Q9HXE3	dauA PA3863	GO:0000166; GO:0005737; GO:0006525; GO:0006527; GO:0008718	3D-structure;FAD;Flavoprotein;Nucleotide-binding;Oxidoreductase;Reference proteome;Virulence
Q9HXI4	suhB PA3818	GO:0003723; GO:0005737; GO:0006020; GO:0006351; GO:0007165; GO:0008934; GO:0031564; GO:0042254; GO:0046854; GO:0046872	3D-structure;Chaperone;Cytoplasm;Hydrolase;Magnesium;Metal-binding;Reference proteome;Ribosome biogenesis;RNA-binding;Transcription;Transcription antitermination;Transcription regulation;Virulence
Q9HZ76	wbpE PA3155	GO:0000271; GO:0006065; GO:0008483; GO:0009103; GO:0009243; GO:0030170; GO:0071555	3D-structure;Aminotransferase;Cell wall biogenesis/degradation;Lipopolysaccharide biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
Q9HZE0	gdhB PA3068	GO:0004069; GO:0004352; GO:0006538	Direct protein sequencing;Disulfide bond;NAD;Oxidoreductase;Reference proteome
Q9HZP8	fabV PA2950	GO:0004318; GO:0006633; GO:0050343; GO:0051287	3D-structure;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;NAD;Oxidoreductase;Reference proteome
Q9I0Y8	mexF PA2494	GO:0005886; GO:0009636; GO:0015562; GO:0042910	Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Quorum sensing;Reference proteome;Transmembrane;Transmembrane helix;Transport;Virulence
Q9I194	pvdQ qsc112 PA2385	GO:0002049; GO:0005737; GO:0009372; GO:0016811; GO:0017000; GO:0042597; GO:0042802; GO:0044010; GO:0046677; GO:0071978	3D-structure;Direct protein sequencing;Hydrolase;Periplasm;Quorum sensing;Reference proteome;Signal;Zymogen
Q9I1X7	ligD PA2138	GO:0003677; GO:0003887; GO:0003910; GO:0004532; GO:0005524; GO:0006269; GO:0006303; GO:0006310; GO:0016779; GO:0046872; GO:0071897	3D-structure;ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase
Q9I2A0	liuE PA2011	GO:0004419; GO:0006552; GO:0008300; GO:0046247; GO:0046872; GO:0046951; GO:0047445	3D-structure;Lyase;Magnesium;Manganese;Metal-binding;Reference proteome
Q9I310	mucR PA1727	GO:0005886; GO:0046872; GO:0052621; GO:0071111; GO:0071732	3D-structure;c-di-GMP;Cell inner membrane;Cell membrane;Hydrolase;Magnesium;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9I3T5	aphA PA1409	GO:0004407; GO:0006595; GO:0016787; GO:0040029; GO:0046872; GO:0047609	Hydrolase;Metal-binding;Reference proteome;Zinc
Q9I485	lhpI PA1259	GO:0016829; GO:0019470	Iron;Lyase;Reference proteome
Q9I4L4	yfiR PA1121	GO:0042597	3D-structure;Disulfide bond;Periplasm;Reference proteome
Q9I509	PA0949	GO:0003955; GO:0008753; GO:0009055; GO:0010181; GO:0016020; GO:0016655; GO:0034599; GO:0050136	3D-structure;Flavoprotein;FMN;NAD;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome
Q9I527	pirA PA0931	GO:0006826; GO:0009279; GO:0015288; GO:0015344; GO:0015891; GO:0038023; GO:0042930; GO:0042931; GO:0044718; GO:0046930	3D-structure;Cell outer membrane;Disulfide bond;Ion transport;Iron;Iron transport;Membrane;Porin;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9I5I6	PA0743	GO:0006565; GO:0008442; GO:0009083; GO:0016616; GO:0050661; GO:0051287; GO:0051289	3D-structure;Branched-chain amino acid catabolism;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
G3XCV0	fleQ PA1097	GO:0000976; GO:0000987; GO:0001216; GO:0001217; GO:0005524; GO:0006351; GO:0006355; GO:0010811; GO:0032993; GO:0035438; GO:0045893; GO:1901202; GO:1902021; GO:2000155	3D-structure;ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation
G3XCX3	pilU PA0396	GO:0005524; GO:0005737; GO:0016887; GO:0016888; GO:0043107	ATP-binding;Cytoplasm;Nucleotide-binding;Reference proteome
G3XD01	wbpD PA3156	GO:0000271; GO:0006065; GO:0009243; GO:0016407; GO:0016746; GO:0070206; GO:0071555	Acyltransferase;Cell wall biogenesis/degradation;Lipopolysaccharide biosynthesis;Reference proteome;Repeat;Transferase
G3XDA8	pstS PA5369	GO:0005576; GO:0006817; GO:0007155; GO:0042301; GO:0042597; GO:0044010	3D-structure;Cell adhesion;Direct protein sequencing;Periplasm;Phosphate transport;Reference proteome;Secreted;Signal;Transport;Virulence
O30508	aruC argD astC PA0895	GO:0003992; GO:0005737; GO:0006526; GO:0006527; GO:0019545; GO:0030170; GO:0042802; GO:0043825	Amino-acid biosynthesis;Aminotransferase;Arginine biosynthesis;Arginine metabolism;Cytoplasm;Pyridoxal phosphate;Reference proteome;Transferase
O52762	katA PA4236	GO:0004096; GO:0005737; GO:0020037; GO:0042542; GO:0042744; GO:0046872	3D-structure;Direct protein sequencing;Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome
P26276	algC PA5322	GO:0000287; GO:0004614; GO:0004615; GO:0009243; GO:0009244; GO:0009298; GO:0042121	3D-structure;Alginate biosynthesis;Direct protein sequencing;Isomerase;Lipopolysaccharide biosynthesis;Magnesium;Metal-binding;Multifunctional enzyme;Phosphoprotein;Reference proteome;Virulence
