operon	miembros	locus_tags	hebra
nirSMCFDLGHJ	nirS|nirM|nirC|nirF|nirD|nirL|nirG|nirH|nirJ	PA0519|PA0518|PA0517|PA0516|PA0515|PA0514|PA0513|PA0512|PA0511	-
norCB	norC|norB	PA0523|PA0524	+
dnaG-rpoD	dnaG|rpoD	PA0577|PA0576	-
ostA-surA-pdxA-ksgA-apaGH-glpE	ostA|surA|pdxA|ksgA|apaG|apaH|glpE	PA0595|PA0594|PA0593|PA0592|PA0591|PA0590|PA0589	-
amgK-murU	amgK|murU	PA0596|PA0597	+
prtRN	prtR|prtN	PA0611|PA0610	-
trpGDC	trpG|trpD|trpC	PA0649|PA0650|PA0651	+
vreAIR	vreA|vreI|vreR	PA0674|PA0675|PA0676	+
algU-mucABCD-lepAB	algU|mucA|mucB|mucC|mucD|lepA|lepB	PA0762|PA0763|PA0764|PA0765|PA0766|PA0767|PA0768	+
recO-pdxJ	recO|pdxJ	PA0772|PA0773	+
cmoAB	cmoA|cmoB	PA0775|PA0774	-
putAP	putA|putP	PA0782|PA0783	+
prpBC	prpB|prpC	PA0796|PA0795	-
plcHR	plcH|plcR	PA0844|PA0843	-
bolA-trhO	bolA|trhO	PA0857|PA0858	+
phhABC-pbpG	phhA|phhB|phhC|pbpG	PA0872|PA0871|PA0870|PA0869	-
acsA-aotJQM	acsA|aotJ|aotQ|aotM	PA0887|PA0888|PA0889|PA0890	+
aotP-argR	aotP|argR	PA0892|PA0893	+
aruCFGDB	aruC|aruF|aruG|aruD|aruB	PA0895|PA0896|PA0897|PA0898|PA0899	+
alaS-lysC-rsmA	alaS|lysC|rsmA	PA0903|PA0904|PA0905	+
gacS-ldhA	gacS|ldhA	PA0928|PA0927	-
pirA-cysM-ygcA-relA	pirA|cysM|ygcA|relA	PA0931|PA0932|PA0933|PA0934	+
purMN	purM|purN	PA0945|PA0944	-
aspS-pmpR-ruvCAB	aspS|pmpR|ruvC|ruvA|ruvB	PA0963|PA0964|PA0965|PA0966|PA0967	+
tolQRAB-oprL-cpoB-queEC	tolQ|tolR|tolA|tolB|oprL|cpoB|queE|queC	PA0969|PA0970|PA0971|PA0972|PA0973|PA0974|PA0975|PA0976	+
pqsABCDE-phnAB	pqsA|pqsB|pqsC|pqsD|pqsE|phnA|phnB	PA0996|PA0997|PA0998|PA0999|PA1000|PA1001|PA1002	+
braCDEFG	braC|braD|braE|braF|braG	PA1074|PA1073|PA1072|PA1071|PA1070	-
flgBCDEFGHIJKL	flgB|flgC|flgD|flgE|flgF|flgG|flgH|flgI|flgJ|flgK|flgL	PA1077|PA1078|PA1079|PA1080|PA1081|PA1082|PA1083|PA1084|PA1085|PA1086|PA1087	+
fgtA-fliC	fgtA|fliC	PA1091|PA1092	+
fliDS	fliD|fliS	PA1094|PA1095	+
fleQSR-fliEFG	fleQ|fleS|fleR|fliE|fliF|fliG	PA1097|PA1098|PA1099|PA1100|PA1101|PA1102	+
fliIJ	fliI|fliJ	PA1104|PA1105	+
yfiR-tpbB-yfiB	yfiR|tpbB|yfiB	PA1121|PA1120|PA1119	-
nrdAB	nrdA|nrdB	PA1156|PA1155	-
ndvB-dapE-rrmA	ndvB|dapE|rrmA	PA1163|PA1162|PA1161	-
napEFDABC	napE|napF|napD|napA|napB|napC	PA1177|PA1176|PA1175|PA1174|PA1173|PA1172	-
oprH-phoPQ	oprH|phoP|phoQ	PA1178|PA1179|PA1180	+
aprDEFAI	aprD|aprE|aprF|aprA|aprI	PA1246|PA1247|PA1248|PA1249|PA1250	+
cobOB	cobO|cobB	PA1272|PA1273	+
cobDCQPU	cobD|cobC|cobQ|cobP|cobU	PA1275|PA1276|PA1277|PA1278|PA1279	+
phnWX	phnW|phnX	PA1310|PA1311	+
cyoABCDE	cyoA|cyoB|cyoC|cyoD|cyoE	PA1317|PA1318|PA1319|PA1320|PA1321	+
fliMNOPQR-flhB	fliM|fliN|fliO|fliP|fliQ|fliR|flhB	PA1443|PA1444|PA1445|PA1446|PA1447|PA1448|PA1449	+
flhAF-fleN-fliA-cheYZ	flhA|flhF|fleN|fliA|cheY|cheZ	PA1452|PA1453|PA1454|PA1455|PA1456|PA1457	+
motCD	motC|motD	PA1460|PA1461	+
ccmABCDEFGH-cycH	ccmA|ccmB|ccmC|ccmD|ccmE|ccmF|ccmG|ccmH|cycH	PA1475|PA1476|PA1477|PA1478|PA1479|PA1480|PA1481|PA1482|PA1483	+
xdhAB	xdhA|xdhB	PA1524|PA1523	-
rlmM-tusA	rlmM|tusA	PA1563|PA1564	+
sdhCDAB-sucAB-lpdG-sucCD-braB	sdhC|sdhD|sdhA|sdhB|sucA|sucB|lpdG|sucC|sucD|braB	PA1581|PA1582|PA1583|PA1584|PA1585|PA1586|PA1587|PA1588|PA1589|PA1590	+
fabAB	fabA|fabB	PA1610|PA1609	-
kdpFABCDE-glsA	kdpF|kdpA|kdpB|kdpC|kdpD|kdpE|glsA	PA1632|PA1633|PA1634|PA1635|PA1636|PA1637|PA1638	+
selDU	selD|selU	PA1642|PA1643	+
mtnBD-masA	mtnB|mtnD|masA	PA1683|PA1684|PA1685	+
pscTU	pscT|pscU	PA1691|PA1690	-
pscOPQR	pscO|pscP|pscQ|pscR	PA1696|PA1695|PA1694|PA1693	-
pcrDRGVH-popBD-exsCEBAD-pscBCDEFGHIJKL	pcrD|pcrR|pcrG|pcrV|pcrH|popB|popD|exsC|exsE|exsB|exsA|exsD|pscB|pscC|pscD|pscE|pscF|pscG|pscH|pscI|pscJ|pscK|pscL	PA1703|PA1704|PA1705|PA1706|PA1707|PA1708|PA1709|PA1710|PA1711|PA1712|PA1713|PA1714|PA1715|PA1716|PA1717|PA1718|PA1719|PA1720|PA1721|PA1722|PA1723|PA1724|PA1725	+
mucR-bglX	mucR|bglX	PA1727|PA1726	-
ppsA-estX	ppsA|estX	PA1770|PA1771	+
cmaX-crfX-cmpX-sigX-oprF	cmaX|crfX|cmpX|sigX|oprF	PA1773|PA1774|PA1775|PA1776|PA1777	+
nirBD	nirB|nirD	PA1781|PA1780	-
ppiB-lpxH	ppiB|lpxH	PA1793|PA1792	-
glnS-cysS	glnS|cysS	PA1794|PA1795	+
parRS	parR|parS	PA1799|PA1798	-
clpPX	clpP|clpX	PA1801|PA1802	+
hupB-ppiD	hupB|ppiD	PA1804|PA1805	+
gloB-mltD	gloB|mltD	PA1813|PA1812	-
rnhA-dnaQ	rnhA|dnaQ	PA1815|PA1816	+
fimL-nudC	fimL|nudC	PA1822|PA1823	+
modABC	modA|modB|modC	PA1863|PA1862|PA1861	-
xphA-xqhA	xphA|xqhA	PA1867|PA1868	+
femIRA	femI|femR|femA	PA1912|PA1911|PA1910	-
nrdDG	nrdD|nrdG	PA1920|PA1919	-
rbsBACRK	rbsB|rbsA|rbsC|rbsR|rbsK	PA1946|PA1947|PA1948|PA1949|PA1950	+
fapABCDEF	fapA|fapB|fapC|fapD|fapE|fapF	PA1956|PA1955|PA1954|PA1953|PA1952|PA1951	-
eraSR	eraS|eraR	PA1979|PA1980	+
exaBC-pqqABCDEH-ercAS	exaB|exaC|pqqA|pqqB|pqqC|pqqD|pqqE|pqqH|ercA|ercS	PA1983|PA1984|PA1985|PA1986|PA1987|PA1988|PA1989|PA1990|PA1991|PA1992	+
dhcAB-atoB	dhcA|dhcB|atoB	PA1999|PA2000|PA2001	+
hmgA-fahA-maiA	hmgA|fahA|maiA	PA2009|PA2008|PA2007	-
liuRABCDE	liuR|liuA|liuB|liuC|liuD|liuE	PA2016|PA2015|PA2014|PA2013|PA2012|PA2011	-
mexXY	mexX|mexY	PA2019|PA2018	-
cynTS	cynT|cynS	PA2053|PA2052	-
pcoAB	pcoA|pcoB	PA2065|PA2064	-
kynBU	kynB|kynU	PA2081|PA2080	-
hcnABC	hcnA|hcnB|hcnC	PA2193|PA2194|PA2195	+
lyxD-kdaD	lyxD|kdaD	PA2215|PA2216	+
pslABCDEFGHIJKLMN	pslA|pslB|pslC|pslD|pslE|pslF|pslG|pslH|pslI|pslJ|pslK|pslL|pslM|pslN	PA2231|PA2232|PA2233|PA2234|PA2235|PA2236|PA2237|PA2238|PA2239|PA2240|PA2241|PA2242|PA2243|PA2244	+
bkdB-lpdV	bkdB|lpdV	PA2249|PA2250	+
ansA-pvcABCD	ansA|pvcA|pvcB|pvcC|pvcD	PA2253|PA2254|PA2255|PA2256|PA2257	+
arsRBC	arsR|arsB|arsC	PA2277|PA2278|PA2279	+
ambABCDE	ambA|ambB|ambC|ambD|ambE	PA2306|PA2305|PA2304|PA2303|PA2302	-
mtlDYZ	mtlD|mtlY|mtlZ	PA2342|PA2343|PA2344	+
msuED	msuE|msuD	PA2357|PA2356	-
fpvI-pvdAQ	fpvI|pvdA|pvdQ	PA2387|PA2386|PA2385	-
fpvR-pvdRT-opmQ	fpvR|pvdR|pvdT|opmQ	PA2388|PA2389|PA2390|PA2391	+
pvdNO	pvdN|pvdO	PA2394|PA2395	+
pvdE-fpvA	pvdE|fpvA	PA2397|PA2398	+
pvdJD	pvdJ|pvdD	PA2400|PA2399	-
pvdGL	pvdG|pvdL	PA2425|PA2424	-
foxIRA	foxI|foxR|foxA	PA2468|PA2467|PA2466	-
mexTEF-oprN	mexT|mexE|mexF|oprN	PA2492|PA2493|PA2494|PA2495	+
catBCA	catB|catC|catA	PA2509|PA2508|PA2507	-
antABC	antA|antB|antC	PA2512|PA2513|PA2514	+
czcCBA-xylSXYZL	czcC|czcB|czcA|xylS|xylX|xylY|xylZ|xylL	PA2522|PA2521|PA2520|PA2519|PA2518|PA2517|PA2516|PA2515	-
tamAB	tamA|tamB	PA2543|PA2542	-
pqsH-gacA-uvrC-pgsA	pqsH|gacA|uvrC|pgsA	PA2587|PA2586|PA2585|PA2584	-
tusDC	tusD|tusC	PA2605|PA2606	+
serS-cysG	serS|cysG	PA2612|PA2611	-
ftsK-lolA	ftsK|lolA	PA2615|PA2614	-
clpSA	clpS|clpA	PA2621|PA2620	-
nudJ-trmU-hflD	nudJ|trmU|hflD	PA2625|PA2626|PA2627	+
nuoABDEFGHIJKLMN	nuoA|nuoB|nuoD|nuoE|nuoF|nuoG|nuoH|nuoI|nuoJ|nuoK|nuoL|nuoM|nuoN	PA2637|PA2638|PA2639|PA2640|PA2641|PA2642|PA2643|PA2644|PA2645|PA2646|PA2647|PA2648|PA2649	+
carRS	carR|carS	PA2657|PA2656	-
pfeRSAE	pfeR|pfeS|pfeA|pfeE	PA2686|PA2687|PA2688|PA2689	+
thrS-infC-rpmI-rplT-pheST-himA	thrS|infC|rpmI|rplT|pheS|pheT|himA	PA2744|PA2743|PA2742|PA2741|PA2740|PA2739|PA2738	-
ptrA-copI-queF	ptrA|copI|queF	PA2808|PA2807|PA2806	-
copRS	copR|copS	PA2809|PA2810	+
ligT-lipAH	ligT|lipA|lipH	PA2861|PA2862|PA2863	+
atuABCDEFGH	atuA|atuB|atuC|atuD|atuE|atuF|atuG|atuH	PA2886|PA2887|PA2888|PA2889|PA2890|PA2891|PA2892|PA2893	+
cobHIJ	cobH|cobI|cobJ	PA2905|PA2904|PA2903	-
cobL-cbiD	cobL|cbiD	PA2907|PA2908	+
hisJQMP	hisJ|hisQ|hisM|hisP	PA2923|PA2924|PA2925|PA2926	+
cobWN	cobW|cobN	PA2945|PA2944	-
etfBA-fabV	etfB|etfA|fabV	PA2952|PA2951|PA2950	-
holB-pilZ	holB|pilZ	PA2961|PA2960	-
pabC-mltG	pabC|mltG	PA2964|PA2963	-
rpmF-plsX-fabDG-acpP	rpmF|plsX|fabD|fabG|acpP	PA2970|PA2969|PA2968|PA2967|PA2966	-
kdsB-ptpA-murB	kdsB|ptpA|murB	PA2979|PA2978|PA2977	-
nqrABCDEF	nqrA|nqrB|nqrC|nqrD|nqrE|nqrF	PA2999|PA2998|PA2997|PA2996|PA2995|PA2994	-
psrA-nagZ	psrA|nagZ	PA3006|PA3005	-
lexA-sulA	lexA|sulA	PA3007|PA3008	+
faoA-foaB	faoA|foaB	PA3014|PA3013	-
pelABCDEFG	pelA|pelB|pelC|pelD|pelE|pelF|pelG	PA3064|PA3063|PA3062|PA3061|PA3060|PA3059|PA3058	-
xcpRSTUVWXYZ	xcpR|xcpS|xcpT|xcpU|xcpV|xcpW|xcpX|xcpY|xcpZ	PA3103|PA3102|PA3101|PA3100|PA3099|PA3098|PA3097|PA3096|PA3095	-
xcpPQ	xcpP|xcpQ	PA3104|PA3105	+
purF-metZ	purF|metZ	PA3108|PA3107	-
fimV-truA-trpF-accD-folC	fimV|truA|trpF|accD|folC	PA3115|PA3114|PA3113|PA3112|PA3111	-
leuCD	leuC|leuD	PA3121|PA3120	-
wbpGHIJKL	wbpG|wbpH|wbpI|wbpJ|wbpK|wbpL	PA3150|PA3149|PA3148|PA3147|PA3146|PA3145	-
wbpDE	wbpD|wbpE	PA3156|PA3155	-
wbpAB	wbpA|wbpB	PA3159|PA3158	-
rpsA-himD	rpsA|himD	PA3162|PA3161	-
mtnA-gyrA-serC-pheA	mtnA|gyrA|serC|pheA	PA3169|PA3168|PA3167|PA3166	-
ubiG-mupP	ubiG|mupP	PA3171|PA3172	+
gltR-gtrS	gltR|gtrS	PA3192|PA3191	-
minCDE-rluA-apeB	minC|minD|minE|rluA|apeB	PA3243|PA3244|PA3245|PA3246|PA3247	+
oprOP	oprO|oprP	PA3280|PA3279	-
amiEBCRS	amiE|amiB|amiC|amiR|amiS	PA3366|PA3365|PA3364|PA3363|PA3362	-
rhlG-rcsF	rhlG|rcsF	PA3387|PA3388	+
nosRZDFYL	nosR|nosZ|nosD|nosF|nosY|nosL	PA3391|PA3392|PA3393|PA3394|PA3395|PA3396	+
hasDE	hasD|hasE	PA3406|PA3405	-
rhlABRI-pheC	rhlA|rhlB|rhlR|rhlI|pheC	PA3479|PA3478|PA3477|PA3476|PA3475	-
rnfABCDGE	rnfA|rnfB|rnfC|rnfD|rnfG|rnfE	PA3489|PA3490|PA3491|PA3492|PA3493|PA3494	+
flcEDCBA	flcE|flcD|flcC|flcB|flcA	PA3519|PA3518|PA3517|PA3516|PA3515	-
algKEGXLIJFA-arnBCADTEF	algK|algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3543|PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	+
fruIKA	fruI|fruK|fruA	PA3562|PA3561|PA3560	-
mmsAB	mmsA|mmsB	PA3570|PA3569	-
glpFKRDM	glpF|glpK|glpR|glpD|glpM	PA3581|PA3582|PA3583|PA3584|PA3585	+
erdR-dgkA	erdR|dgkA	PA3604|PA3603	-
potABCD	potA|potB|potC|potD	PA3607|PA3608|PA3609|PA3610	+
recAX	recA|recX	PA3617|PA3616	-
mutS-fdxA	mutS|fdxA	PA3620|PA3621	+
ygbB-truD-surE	ygbB|truD|surE	PA3627|PA3626|PA3625	-
ftsB-ygbP	ftsB|ygbP	PA3634|PA3633	-
dnaE-accA-tilS-pyrG-kdsA	dnaE|accA|tilS|pyrG|kdsA	PA3640|PA3639|PA3638|PA3637|PA3636	-
lpxD-fabZ-lpxAB-rnhB	lpxD|fabZ|lpxA|lpxB|rnhB	PA3646|PA3645|PA3644|PA3643|PA3642	-
uppS-cdsA	uppS|cdsA	PA3652|PA3651	-
wspABCDEFR-prfB-lysS	wspA|wspB|wspC|wspD|wspE|wspF|wspR|prfB|lysS	PA3708|PA3707|PA3706|PA3705|PA3704|PA3703|PA3702|PA3701|PA3700	-
recJ-lasB	recJ|lasB	PA3725|PA3724	-
xerD-dsbC	xerD|dsbC	PA3738|PA3737	-
rpsP-rimM-trmD-rplS	rpsP|rimM|trmD|rplS	PA3745|PA3744|PA3743|PA3742	-
guaBA	guaB|guaA	PA3770|PA3769	-
gcpE-hisS	gcpE|hisS	PA3803|PA3802	-
rlmN-pilF	rlmN|pilF	PA3806|PA3805	-
trmJ-cysE-iscRSUA-hscBA	trmJ|cysE|iscR|iscS|iscU|iscA|hscB|hscA	PA3817|PA3816|PA3815|PA3814|PA3813|PA3812|PA3811|PA3810	-
secDF	secD|secF	PA3821|PA3820	-
pepA-holC	pepA|holC	PA3831|PA3832	+
dauBAR	dauB|dauA|dauR	PA3862|PA3863|PA3864	+
narGHJI	narG|narH|narJ|narI	PA3875|PA3874|PA3873|PA3872	-
narXL-anvM	narX|narL|anvM	PA3878|PA3879|PA3880	+
ubiUVT-eddAB	ubiU|ubiV|ubiT|eddA|eddB	PA3913|PA3912|PA3911|PA3910|PA3909	-
moaCDE	moaC|moaD|moaE	PA3918|PA3917|PA3916	-
cioAB	cioA|cioB	PA3930|PA3929	-
thiDE-hemL	thiD|thiE|hemL	PA3975|PA3976|PA3977	+
leuS-lptE-holA	leuS|lptE|holA	PA3987|PA3988|PA3989	+
rlpA-dacC	rlpA|dacC	PA4000|PA3999	-
proA-nadD-rsfS-rlmH-pbpA-rodA	proA|nadD|rsfS|rlmH|pbpA|rodA	PA4007|PA4006|PA4005|PA4004|PA4003|PA4002	-
eutBC	eutB|eutC	PA4024|PA4025	+
xseB-ispA	xseB|ispA	PA4042|PA4043	+
nrdR-ribDCBE-nusB-thiL-pgpA	nrdR|ribD|ribC|ribB|ribE|nusB|thiL|pgpA	PA4057|PA4056|PA4055|PA4054|PA4053|PA4052|PA4051|PA4050	-
hpaAC	hpaA|hpaC	PA4091|PA4092	+
bfmRS	bfmR|bfmS	PA4101|PA4102	+
bphOP	bphO|bphP	PA4116|PA4117	+
hpcCBD	hpcC|hpcB|hpcD	PA4123|PA4124|PA4125	+
fepBDG	fepB|fepD|fepG	PA4159|PA4160|PA4161	+
bfiSR	bfiS|bfiR	PA4197|PA4196	-
nmoA-ddlA	nmoA|ddlA	PA4202|PA4201	-
nmoR-ppgL-mexGHI-opmD	nmoR|ppgL|mexG|mexH|mexI|opmD	PA4203|PA4204|PA4205|PA4206|PA4207|PA4208	+
fptAB	fptA|fptB	PA4221|PA4220	-
pchREFG	pchR|pchE|pchF|pchG	PA4227|PA4226|PA4225|PA4224	-
pchDCBA	pchD|pchC|pchB|pchA	PA4228|PA4229|PA4230|PA4231	+
tufA-rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ-rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ-rpsMKD-rpoA-rplQ-katA-bfrA	tufA|rpsJ|rplC|rplD|rplW|rplB|rpsS|rplV|rpsC|rplP|rpmC|rpsQ|rplN|rplX|rplE|rpsN|rpsH|rplF|rplR|rpsE|rpmD|rplO|secY|rpmJ|rpsM|rpsK|rpsD|rpoA|rplQ|katA|bfrA	PA4265|PA4264|PA4263|PA4262|PA4261|PA4260|PA4259|PA4258|PA4257|PA4256|PA4255|PA4254|PA4253|PA4252|PA4251|PA4250|PA4249|PA4248|PA4247|PA4246|PA4245|PA4244|PA4243|PA4242|PA4241|PA4240|PA4239|PA4238|PA4237|PA4236|PA4235	-
tufB-secE-nusG-rplKAJL-rpoBC-rpsLG	tufB|secE|nusG|rplK|rplA|rplJ|rplL|rpoB|rpoC|rpsL|rpsG	PA4277|PA4276|PA4275|PA4274|PA4273|PA4272|PA4271|PA4270|PA4269|PA4268|PA4267	-
birA-coaX	birA|coaX	PA4280|PA4279	-
sbcDC	sbcD|sbcC	PA4281|PA4282	+
recCBD	recC|recB|recD	PA4285|PA4284|PA4283	-
fppA-pprB	fppA|pprB	PA4295|PA4296	+
rcpCA-tadZABCD	rcpC|rcpA|tadZ|tadA|tadB|tadC|tadD	PA4305|PA4304|PA4303|PA4302|PA4301|PA4300|PA4299	-
pctAB	pctA|pctB	PA4309|PA4310	+
olsBA	olsB|olsA	PA4350|PA4351	+
sodB-bifA	sodB|bifA	PA4366|PA4367	+
secA-argJ	secA|argJ	PA4403|PA4402	-
rsmI-mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmI|mraZ|rsmH|ftsL|ftsI|murE|murF|mraY|murD|ftsW|murG|murC|ddlB|ftsQ|ftsA|ftsZ|lpxC	PA4422|PA4421|PA4420|PA4419|PA4418|PA4417|PA4416|PA4415|PA4414|PA4413|PA4412|PA4411|PA4410|PA4409|PA4408|PA4407|PA4406	-
sspAB	sspA|sspB	PA4428|PA4427	-
rplM-rpsI	rplM|rpsI	PA4433|PA4432	-
trpS-zapE	trpS|zapE	PA4439|PA4438	-
cysDN	cysD|cysN	PA4443|PA4442	-
murA-hisGD	murA|hisG|hisD	PA4450|PA4449|PA4448	-
lptCH	lptC|lptH	PA4459|PA4460	+
cafA-yhdP	cafA|yhdP	PA4477|PA4476	-
mreBCD	mreB|mreC|mreD	PA4481|PA4480|PA4479	-
gatCAB-rlpA	gatC|gatA|gatB|rlpA	PA4482|PA4483|PA4484|PA4485	+
roxSR	roxS|roxR	PA4494|PA4493	-
pilD-coaE-yacG	pilD|coaE|yacG	PA4528|PA4529|PA4530	+
rluD-pgeF-clpB	rluD|pgeF|clpB	PA4544|PA4543|PA4542	-
comL-pilSR	comL|pilS|pilR	PA4545|PA4546|PA4547	+
fimTU-pilVWX	fimT|fimU|pilV|pilW|pilX	PA4549|PA4550|PA4551|PA4552|PA4553	+
murJ-ribF-ileS-lspA	murJ|ribF|ileS|lspA	PA4562|PA4561|PA4560|PA4559	-
rplU-rpmA	rplU|rpmA	PA4568|PA4567	-
mexCD-oprJ	mexC|mexD|oprJ	PA4599|PA4598|PA4597	-
nfxB-morA	nfxB|morA	PA4600|PA4601	+
hprA-rsmC-lysP	hprA|rsmC|lysP	PA4626|PA4627|PA4628	+
hemA-prfA-hemK-moeB-murI-pagL	hemA|prfA|hemK|moeB|murI|pagL	PA4666|PA4665|PA4664|PA4663|PA4662|PA4661	-
hitAB	hitA|hitB	PA4687|PA4688	+
ilvIHC-pssA-msrPQ	ilvI|ilvH|ilvC|pssA|msrP|msrQ	PA4696|PA4695|PA4694|PA4693|PA4692|PA4691	-
dksA-gluQ-cbrAB-pcnB-folK-panBCD	dksA|gluQ|cbrA|cbrB|pcnB|folK|panB|panC|panD	PA4723|PA4724|PA4725|PA4726|PA4727|PA4728|PA4729|PA4730|PA4731	+
ftsJH-folP-glmM-tpiA-secG-rimP-nusA-infB-rbfA-truB-rpsO	ftsJ|ftsH|folP|glmM|tpiA|secG|rimP|nusA|infB|rbfA|truB|rpsO	PA4752|PA4751|PA4750|PA4749|PA4748|PA4747|PA4746|PA4745|PA4744|PA4743|PA4742|PA4741	-
carB-greA	carB|greA	PA4756|PA4755	-
grpE-dnaKJ-dapB-carA	grpE|dnaK|dnaJ|dapB|carA	PA4762|PA4761|PA4760|PA4759|PA4758	-
lldPD	lldP|lldD	PA4770|PA4771	+
pmrAB-cueR	pmrA|pmrB|cueR	PA4776|PA4777|PA4778	+
lipC-fdnGHI-fdhE-selAB	lipC|fdnG|fdnH|fdnI|fdhE|selA|selB	PA4813|PA4812|PA4811|PA4810|PA4809|PA4808|PA4807	-
cntOLMI	cntO|cntL|cntM|cntI	PA4837|PA4836|PA4835|PA4834	-
ctpL-dipZ	ctpL|dipZ	PA4844|PA4845	+
accBC	accB|accC	PA4847|PA4848	+
purHD-retS	purH|purD|retS	PA4854|PA4855|PA4856	+
ureDA-pitA-ureBC	ureD|ureA|pitA|ureB|ureC	PA4864|PA4865|PA4866|PA4867|PA4868	+
desT-ureEFG	desT|ureE|ureF|ureG	PA4890|PA4891|PA4892|PA4893	+
vanAB	vanA|vanB	PA4904|PA4905	+
rplI-dnaB	rplI|dnaB	PA4932|PA4931	-
rlmB-rpsFR	rlmB|rpsF|rpsR	PA4936|PA4935|PA4934	-
hisZ-purA	hisZ|purA	PA4939|PA4938	-
hflXKC	hflX|hflK|hflC	PA4943|PA4942|PA4941	-
amiB-mutL-miaA	amiB|mutL|miaA	PA4947|PA4946|PA4945	-
motAB	motA|motB	PA4954|PA4953	-
fimWX	fimW|fimX	PA4958|PA4959	+
aruIH	aruI|aruH	PA4977|PA4976	-
aruRS	aruR|aruS	PA4983|PA4982	-
msbA-rfaE	msbA|rfaE	PA4997|PA4996	-
glnE-ilvE-waaFCGP	glnE|ilvE|waaF|waaC|waaG|waaP	PA5014|PA5013|PA5012|PA5011|PA5010|PA5009	-
aceEF	aceE|aceF	PA5015|PA5016	+
gltBD-hemE	gltB|gltD|hemE	PA5036|PA5035|PA5034	-
pilMNOPQ-aroKB	pilM|pilN|pilO|pilP|pilQ|aroK|aroB	PA5044|PA5043|PA5042|PA5041|PA5040|PA5039|PA5038	-
priA-argS	priA|argS	PA5050|PA5051	+
hslVU	hslV|hslU	PA5053|PA5054	+
ubiEJB-hisIE-tatABC	ubiE|ubiJ|ubiB|hisI|hisE|tatA|tatB|tatC	PA5063|PA5064|PA5065|PA5066|PA5067|PA5068|PA5069|PA5070	+
opgG-mdoH	opgG|mdoH	PA5078|PA5077	-
hutIG	hutI|hutG	PA5092|PA5091	-
thiI-typA	thiI|typA	PA5118|PA5117	-
ntrBC	ntrB|ntrC	PA5124|PA5125	+
rmlBDAC-dctBDPQM-arcDABC-fabY	rmlB|rmlD|rmlA|rmlC|dctB|dctD|dctP|dctQ|dctM|arcD|arcA|arcB|arcC|fabY	PA5161|PA5162|PA5163|PA5164|PA5165|PA5166|PA5167|PA5168|PA5169|PA5170|PA5171|PA5172|PA5173|PA5174	+
