pmid,oracion,regulador,blanco,disparador,relacion,signo_correcto
38660402,It was shown that in trans overexpression of either WT FleR or FleRD53A under the control of a constitutive promoter in the ΔfleR mutant substantially reduced the promoter activity of exsCEBA to a level that was approximately 70% lower than that in the WT strain (Figure 2C).,fleR,exsCEBA,constitutive;overexpression;reduced;under the control,si,-
23511474,"The induction of the RpoS regulon was reported to be required for carbon source starvation-induced mutagenesis in E. coli, largely due to the induction of the dinB gene192021.",rpoS,dinB,induction;regulon;required,si,+
36604484,"Interestingly, the time lapse at which bacterial cells became undetectable between dark vs. light conditions in the ΔbfmR and the ΔbfmRS mutants, which was of 1 and 2 days, respectively, was significantly shorter than that of wild type strain (16 days); showing loss or significant reduction of photoregulation of dessication and thus indicating that BfmR participates in this process.",bfmR,bfmRS,reduction,no,
33193206,"Taken together, these data support that the cfrX-cmpX transcriptional unit is under the direct control of SigX, which is responsible for the increase of its transcription in response to CS.",sigX,cmpX,increase,si,+
33670077,"Using electrophoretic mobility shift assays (EMSAs), we found that the addition of acetyl phosphate increased the ability of 6His-GltR to bind to the gltB promoter DNA (Figure S2C), while it failed to do this for the 6His-GltRD56A proteins (Figure S2D).",gltR,gltB,bind;increased,si,?
23991093,"More importantly, E. coli SspA can functionally replace P. aeruginosa anti-sigma factor AlgQ [35].",algQ,sspA,anti-sigma,no,
29375519,"On the other hand, QslA was not shown to significantly abrogate RhlR-mediated transcription of rhlI in the E. coli heterologous host (Seet and Zhang, 2011), further supporting the Las-dominant interaction model described above.",rhlR,rhlI,abrogate,si,+
40591601,"To identify genes exclusively regulated by glpD activity, we conducted a comparison between the gene expression profiles of a strain lacking glpD (ΔglpD) and a strain overexpressing glpD due to the absence of its transcriptional repressor (ΔglpR).",glpR,glpD,overexpressing;regulated;transcriptional repressor,si,-
23382903,"In contrast, a study carried out in S. enterica serovar Typhimurium demonstrated that neither OxyR nor KatG (catalase) influence survival in the presence of neutrophils [40], while AhpC (peroxidise) is not required for virulence in a mouse model [41].",oxyR,ahpC,required,no,
29244160,"On the other hand, it suggested that the relief of Hfq/Crc-mediated repression observed with the revertants (Supplementary Table S11) is attributable to an impairment in the Hfq/Crc/RNA interaction.",hfq,crc,repression,no,
22511872,"We also examined AmrZ binding to the algD promoter, which results in activation of the alginate exopolysaccharide biosynthetic operon, and found the protein utilizes different interactions with this site.",amrZ,algD,activation;binding,si,+
29435492,"The binding interaction between MBP-CdhR and caiX probe can be competed with unlabeled caiX probe (lane 4), but not an unlabeled dhcA probe (lane 5), and MBP-CdhR does not shift the nonspecific UAS, dhcA (lanes 6 to 8).",cdhR,dhcA,binding,no,
23991093,"Previously, we reported CF149 have two mutations resulting in abrogation of an AlgU-dependent transcription of lipotoxin LptF [21].",algU,lptF,abrogation,si,+
36377867,"acsA expression is known to be under the control of the response regulator ErdR, and consistent with this, an ΔerdR mutant cannot grow on ethanol or acetate as a sole carbon source (55).",erdR,acsA,regulator;under the control,si,?
20300606,"To this end, we assessed whether PqsE overproduction in rhlR − cells could restore pyocyanin production since it was completely abolished in both pqsE− [11],[19] and rhlR− [38] mutants.",rhlR,pqsE,abolished;overproduction;restore,no,
34151378,"Another P. aeruginosa RNA helicase (PA2840, named DeaD) has been proposed as virulence regulator, due to its stimulatory effect on the synthesis of the type III secretion system regulator ExsA (30).",exsA,deaD,regulator;stimulatory,no,
37967103,"The reported role of RimK in controlling the activity of ribosomes may be related to the strong downregulation of multiple 50S and 30S ribosomal proteins in the absence of AlgU, highlighting the role of this sigma factor on protein translation (S7 Table and S2 Fig).",algU,rimK,controlling;downregulation,no,
28584154,(B) EMSA of Cy5-PmexAB-oprM probe 1 with increasing amounts of 6×His-PA3225.,PA3225,oprM,increasing,dudoso,
34669473,"The ATPase activity of FleQ is regulated via a P-loop ATPase, FleN, through protein-protein interaction.",fleQ,fleN,regulated,no,
41949299,Transcription was monitored by light production via the expression of the luxCDABE operon controlled by the RhlR-dependent promoter of rhlA.,rhlR,rhlA,controlled,si,+
18599839,"The key to mucoid conversion is the expression of the algD operon, whose transcription is increased when the extracytoplasmic function (ECF) σ factor AlgU (also called AlgT) binds to the promoter of this operon.",algU,algD,binds;increased,si,+
35072315,"Among virulence factors, T3SS was induced, while substantial downregulation was observed for BexR, T6SS, pyocins, bacteriophage Pf1, hemolysin, hemagglutinin, α2-macroglobulin, fimbriae, the PA0277 protease, and hydrogen cyanide toxin genes (Table S1).",bexR,PA0277,downregulation;induced,no,
1551597,"In this paper, we report that AlgR2, an 18-kDa protein which in cooperation with AlgR1 regulates the algD promoter, undergoes phosphorylation in the presence of ATP.",algQ,algD,phosphorylation;regulates,si,?
28596760,"The PqsBC inhibitors showed to be less efficient in reducing the MvfR natural ligands synthesis and, moreover, lead to an increased production of 2-AA and DHQ.",mvfR,pqsBC,increased;reducing,no,
38051770,The above-presented FleQ-FleN structure is compatible with a model where each of the FleN-bridged FleQ dimers would bind a FleQ box within the promoter and could thus lead to large-scale DNA bending stabilized by the central contacts between the SD1 modules of the peripheral FleQ copies and by the intrinsic DNA-bending propensity of the FleQHTH tandems themselves.,fleQ,fleN,bind,no,
39592545,"The ArgR regulatory factor binds specifically to the regulatory region upstream of the oprD gene, protecting it from nucleases and regulating its transcriptional expression [51].",argR,oprD,binds;regulating;regulatory,si,?
